coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Excitatory,Astrocyte
0x0,1.250474067,0.516421733,94.84626294799999,54.817176247,3.2121103449999997,173.637897003,24.280132845999997,34.582446624,1.250474067,0.9209496180000001,30.492296806,5.88131846,14.141942357,2.994478653,16.960566879,44.209665016,64.230727359,3.3990076289999998,9.719500051,5.665429976,5.172591478,13.817178018,2.316644895,0.560163093,13.249153545,25.062146459999997,1.95585837,24.3527006,4.815920434000001,1.120313117,2.360373186,4.0152692949999995,80.62938068899999,47.174666063,3.3640793589999998,0.0,8.129766711,15.497477598,0.0,0.560163093,2.646169344,7.976847783,43.592891484999996,2.3690486760000002,3.049006619,2.656956548,6.920687035,24.476563739,25.597239982000005,31.003415408000002,20.086338039999998,1.2380127980000002,2.285382819,27.976896085,2.1696721080000003,2.994478653,13.048237791999998,66.115898185,1.77939326,3.218829897,10.583807065,34.319478705,35.376566408,63.430339196,9.248384196,5.116741447000001,2.454908049,1.59880181,4.726430892,0.879273544,1.63673485,10.659674483,8.465167641,1.588271605,163.99050016500001,0.0,3.50227807,15.909020658,24.035788048,5.490004742,0.0,4.493878489,2.789295817,1.758608055,1.7564818020000001,0.516421733,26.593303723000002,32.121963987,4.660789771,9.039139141000001,3.355247835,53.07412712,2.518197355,93.79417347299999,19.764020728,3.123039786,15.182486696000002,2.669019332,7.7408293530000005,27.753534276,37.577813271,2.318771148,7.745998446,4.083800181,9.458872832,1.082380077,1.481099642,7.938382757,5.827838386,50.193561026,0.360786525,3.1417103280000003,6.515183132000001,4.276491699,76.591812039,2.240634118,0.560163093,2.3567693829999996,3.2566709319999996,15.736741593999998,15.583715183,37.70166506499999,2.104693338,11.572837115,1.443149259,61.69124151500001,0.889687542,10.285217563000002,12.194141115,17.385704220999997,12.876129178000001,3.821448018,4.798961236,0.0,42.025803351,0.037133727,0.118661188,0.220065702,0.109475159,0.097743055,0.0,0.140515904,0.083554147,0.0,0.0,0.326847427,0.298613759,0.693869702,0.0,0.257762104,0.169261123,2.672584246,0.7564092840000001,0.06073808,0.049909825,5,5
1x1,0.0,0.0,11.62118115,0.0,0.0,29.69728738,0.0,0.0,0.0,0.0,10.826202750999999,2.060976532,2.582201406,1.030486003,0.0,3.091475925,13.39792808,1.030486003,0.0,4.122005023,2.060976532,2.582201406,1.291078659,0.0,0.0,6.183068367,1.030486003,2.060976532,0.0,0.0,0.0,0.0,17.280910654,6.455383703,0.0,0.0,0.0,2.060976532,0.0,0.0,1.291078659,0.0,0.0,0.0,1.030486003,0.0,2.321564662,4.903750686,2.582201406,0.0,7.21353288,1.030486003,0.0,1.030486003,0.0,1.030486003,5.152477016,9.275429881,0.0,0.0,0.0,12.128385234,4.122005023,0.0,0.0,1.030486003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.727773383,0.0,0.0,8.504611538999999,1.030486003,7.21353288,1.291078659,0.0,13.39792808,0.0,3.091475925,0.0,2.321564662,0.0,1.030486003,2.321564662,1.291078659,11.596844859,0.0,21.64122914,5.164388478,0.0,3.091475925,3.873264683,1.291078659,10.32921973,2.060976532,3.091475925,2.060976532,0.0,1.030486003,0.0,0.0,1.291078659,1.291078659,6.183068367,0.0,0.0,1.291078659,1.030486003,16.48638355,0.0,0.0,1.030486003,0.0,11.359705733,6.455383703,5.164388478,0.0,0.0,5.673677331,13.39792808,1.030486003,0.0,0.0,2.582201406,4.122005023,0.0,1.030486003,0.0,21.95091476,0.041415302,0.013547718,0.011504688,0.05640755,0.0,0.003377366,0.0,0.0,0.0,0.0,0.074053711,0.0,0.272724393,0.0,0.079510821,0.0,0.570933757,0.006523456,0.006930973,0.0107052,1,1
2x2,3.2246700419999996,2.260191615,143.660283774,11.671944494,6.068599403,348.490747152,15.816481766,43.119412627,3.577684757,0.814261982,14.861883701,21.5859254,0.743773205,1.93702283,9.445181063,48.874846651999995,80.94542927399999,0.636590402,2.296878813,9.333198162,18.268152009,10.364046482,6.651578898,0.0,2.378643613,9.797686141,0.0,6.144062421,2.282391573,0.0,0.927791229,4.071424916,55.998492362,23.006115965,2.432987619,3.496244385,3.46875613,29.616094355999998,1.450852384,0.809339231,1.8234935829999999,3.419970718,5.119970386,0.743773205,4.956814261,5.281894686999999,3.414253983,23.088347785999996,7.426086111,1.7530048059999999,4.702991875,2.087421954,3.577684757,2.66489075,6.878555392,11.319184968999998,17.009652417999998,25.913720294,5.320497554,5.223465853,6.791701161,28.162468554,11.040222747,39.240211163,0.0,0.927791229,3.027634015,0.809339231,8.221640020999999,2.296878813,3.2203888540000003,4.950438429,5.718293614,0.0,167.928359246,0.857890012,2.0824992030000002,34.580016825,6.839093893,7.308665295,2.415925199,6.7593699350000005,5.001440775,0.927791229,7.746168492,1.715751324,2.7512848119999997,36.23565752,2.345429594,2.3673744180000003,1.628572742,26.285859239,2.389595208,60.200091418999996,24.885065279,7.3309649199999996,8.442004533999999,39.919420239,7.660120628,11.737561533000001,21.249980082,1.445929633,7.377223724,8.850423492,5.739105679,0.0,0.857890012,3.414253983,6.775643798,41.326266309999994,3.641270328,1.628572742,9.32023174,0.636590402,69.00692742300001,0.814261982,0.0,0.636590402,4.958048364000001,10.086487386,14.858817375000001,15.535756261000001,0.636590402,3.484124261,1.628572742,58.642029241,0.0,11.946138641,22.232512917,17.176945961,19.139629472,6.370987036000001,3.464351928,3.981178452,36.152185407000005,0.33750490099999997,0.240362985,0.12023385099999999,0.18229192000000002,0.0,0.075526698,0.034672723,0.96928167,0.007766459,0.0,0.411577558,0.002421332,0.534292209,0.0,0.17828339499999998,0.125459415,1.9476818640000002,1.570150027,0.066020339,0.19143094000000002,4,4
3x3,0.0,0.760191826,103.82280144,22.589337258999997,0.926238239,184.15630672900002,12.137505817000001,30.487332203999998,0.926238239,0.0,12.499550763,10.30242534,11.869180913000001,0.0,1.8911202230000002,60.41660916,104.39574860100001,13.315397980999998,2.4885165010000003,9.975511912,27.451510897000002,10.618421472,3.8496279380000002,0.926238239,1.520345037,9.452076173,0.0,7.340501832999999,5.5038208399999995,1.046444637,1.445633812,11.466180913999999,71.978423375,46.187878772000005,1.647402863,0.0,3.417595829,37.086558661,0.0,1.046444637,1.809887328,1.520345037,11.471192922,0.600958226,0.883649089,0.0,10.062667097999999,17.69949527,5.906786650000001,12.690830424000001,14.062176807,1.527196465,0.600958226,0.883649089,2.881533445,7.079509466999999,2.403994126,29.955906068,1.046444637,0.600958226,5.788300413,34.307700426,12.726446922,24.934361719,0.0,2.280575219,0.926238239,0.0,2.121303263,0.0,2.121303263,2.12809975,3.327019856,3.5763828209999997,156.46677065,0.600958226,10.521516624,28.607722434000003,13.736510597999999,2.650900525,0.0,7.159646509,25.839727397,1.046444637,4.518105507,0.926238239,0.883649089,14.631872934999999,0.600958226,2.092929352,1.046444637,21.900358611,2.0855106,50.557305122,28.610221599,1.76726022,20.102609476,15.345165056,4.050321577,12.778206307,16.630837322999998,7.733485676999999,4.810477921,2.881533445,5.746377181,0.760191826,2.287388291,2.370704584,3.206813458,21.842206277,0.883649089,2.370704584,9.047163964,0.600958226,71.122900391,0.600958226,1.046444637,0.844675586,2.403994126,11.71535648,11.017485591,37.79618691,4.518105507,3.765182534,7.672437606,54.995899369,2.573641102,1.769746358,6.672663913,19.224322193000003,16.525531333,11.985244953,4.518105507,2.9727753359999998,36.653904811,0.74885994,0.067786257,0.07182461600000001,0.161833589,0.04410245200000001,0.041880196,0.0,0.068695548,0.0,0.0,0.388807415,0.0,1.110219638,0.0,0.191496345,0.077797145,2.0762749129999998,0.881523385,0.012639256,0.046446428,4,4
4x4,0.569133881,0.700748122,96.01642150500001,10.684180743999999,3.2855344239999997,132.05394442300002,7.6331290339999995,22.63922374,1.144321993,0.569133881,15.994953253000002,18.549306578999996,3.432115639,1.003503014,13.816274399000001,22.184405156999997,47.386424212,4.716795985,4.512615385,8.553633425000001,9.354588163,4.76829154,1.7134558739999999,1.2627084530000001,2.4070304460000003,8.922290538999999,4.630104902,21.268300859,15.952037167,0.0,6.941297425,2.644338739,38.91320855,29.722433295000002,1.269882003,0.0,5.70031401,21.983540314,2.308186614,1.401485673,0.569133881,0.0,2.962934627,0.569133881,0.0,1.564070724,1.269882003,17.495477586,14.891332601,3.7428538149999997,10.29290633,0.0,0.0,10.665498552999999,4.272515059,4.211863844,17.765399700000003,45.232607585,0.569133881,2.400965933,4.852697666,23.516082345,9.630938606,15.441528064,0.0,4.703381611,1.2777782850000001,2.506105035,1.13825748,1.144321993,3.525432539,6.480966137999999,1.684395749,0.700748122,103.77304349799999,0.0,5.688996831,7.53267226,16.109000558,4.801169065,2.9912341590000002,0.0,24.701018719000004,1.950774738,3.976749821,0.0,1.708124375,10.997885611000001,1.580533177,0.0,1.9634460040000001,27.855205043,3.705223229,62.268205254,22.280513186,5.239410994,8.361369069,4.586992016,4.216975634000001,4.551598911,7.068179628,2.4070304460000003,5.4920183,0.569133881,9.761651838,0.0,0.680892735,1.1310942119999998,7.979849289,18.164025189999997,1.2627084530000001,4.935982716,11.416154055,1.2627084530000001,61.030331134,0.0,1.269882003,2.244963459,1.7134558739999999,6.136170872,9.600948122,14.895998630000001,0.561960331,1.1310942119999998,1.361783042,44.623704702000005,2.709785338,7.370862824,3.107767997,16.007334135,10.271353552999999,5.233176003,5.124540026,6.306510286,23.281162837,0.7936709709999998,0.044405837000000004,0.061527471,0.468031343,0.015280604,0.019138685,0.27471316700000004,0.380291584,0.0,0.033358462,0.24730335000000003,1.293122225,1.512519414,0.0,0.161722643,0.13020120500000001,1.823845953,1.03271143,0.043328860999999996,0.43135279400000004,4,4
5x5,0.0,0.529079268,38.021817073,6.292564573,0.928057582,134.735239005,2.3851568480000003,68.704498794,0.0,0.0,1.611563842,5.079275065999999,4.566656885,0.0,13.986805608000001,9.645254255000001,33.286082048,0.529079268,6.730783443,0.993109349,1.676613029,2.075591343,0.0,1.522194187,0.0,5.982209129999999,0.0,1.611563842,2.450267791,0.0,0.0,0.464030081,9.271165278,20.601893112,0.0,0.0,0.464030081,5.323721265,0.529079268,0.529079268,0.0,0.464030081,2.539637446,0.993109349,4.590105445,0.529079268,2.7591407099999996,11.280901735,4.834732202,11.167445862,10.597491994,0.464030081,0.0,1.147533761,9.62407786,1.611563842,12.0647168,31.401891438,1.058164106,0.0,0.0,5.584078375,9.449833786,4.370686099,2.7591407099999996,1.676613029,0.0,0.928057582,3.003611341,1.058164106,2.58040715,11.211375661,0.0,0.0,84.734435258,0.0,0.529079268,2.914241686,1.147533761,10.647659796,1.611563842,4.126897004,1.611563842,0.464030081,7.424419796,0.0,5.624853848999999,3.906658598,0.0,0.464030081,5.982209129999999,10.597491994,0.0,27.467016092,3.777230803,4.257004223,2.824189897,2.116377069,2.7591407099999996,9.933686519,19.606774361,0.0,1.921182953,1.147533761,0.928057582,0.0,0.464030081,1.986221688,14.359827429,8.497532547999999,0.464030081,0.0,4.257004223,0.464030081,24.881327989,0.464030081,1.45713685,0.0,1.676613029,2.14064311,6.0238717170000005,6.577138579,1.45713685,4.370686099,0.0,7.618816021,0.993109349,1.85607758,0.464030081,4.257004223,13.704943030999999,2.14064311,0.0,0.0,5.494720745,0.013632685,0.036042489999999996,0.09890781000000001,0.078468452,0.0,0.000295373,0.076968498,0.49225436300000003,0.0,0.0,0.270715602,0.028731409,0.74322221,0.0,0.191870654,0.071909946,1.3014138679999998,0.016950533,0.044926269000000005,0.155034616,2,2
6x6,3.443941162,11.442279606,87.161818283,25.218328276,2.856304712,96.13501244400001,31.794817976999997,13.916153780000002,5.861739449,1.167023178,12.146248228000001,14.394415753,6.486613986,0.727627069,17.894819177,8.125388663999999,73.905869295,0.0,3.237067937,11.529646194000001,23.481161566999997,31.009893818000002,0.727627069,1.167023178,4.533672473,68.632793984,1.8932162620000001,41.534409134,8.536777693000001,1.148599664,4.287375865,4.93791905,61.657945911,65.726862489,0.803225333,0.0,2.662849838,15.933402933,0.0,1.8064423139999999,0.363797845,8.417824377999999,5.762491852,3.460659191,1.872632039,1.91823324,2.551058912,20.068893448,24.620577412000003,9.961262622,9.327222908,4.146762897,1.210090206,32.944091042000004,1.547841931,8.41961583,24.143381059,59.292575208,0.744616598,4.085939226,7.093710237,27.338544296000002,17.909023572,25.950568737,5.454874576,14.002380813999999,0.803225333,1.210090206,1.148599664,0.0,4.1937022399999995,7.895814663,5.319147908,0.0,143.640968874,1.384035734,0.784801819,20.347996202999997,6.408773945,12.616212012,3.012270955,5.800959872,11.983164304,4.190470328,6.1939353210000005,0.0,3.060270819,5.372301912999999,0.0,1.489258507,10.316874471999999,46.990581502,1.872632039,77.72703623700001,15.776027289,1.003216981,8.950704088,4.65661805,6.528079728,14.819757375,16.014311331,0.784801819,12.723021351,18.61552788,8.894506059,0.0,0.0,1.9547068040000002,9.75908269,19.241107575,1.8530563519999999,1.4722436669999999,3.029122169,2.168837553,71.791609499,0.0,1.573888051,0.363797845,9.083231009,6.157453369000001,18.073874786,29.756630583000003,0.0,3.041870153,9.055185574000001,46.86744868499999,1.7880188000000001,6.158499368,16.213540090000002,7.552998864,13.625939847000001,8.352709090000001,7.165634566,1.148599664,49.738876569,0.273151965,0.052975905999999996,0.055120033000000006,0.24419013699999997,0.0127156,0.338387243,0.190712943,0.338652951,0.0,0.0,0.263464584,0.0,3.2129751239999997,0.0,0.322138011,0.10453130299999999,1.352643963,0.006447441,0.04464194,0.332619731,4,4
7x7,0.0,3.007375143,91.304640157,17.955024402,0.740243419,54.625516133,18.670002389,46.917685468,0.0,0.740243419,22.561660726,9.120693097,5.269796113,1.090547309,1.090547309,32.671959073,53.964359962,1.991474106,2.7317350769999997,7.752685844999999,6.485324479,0.625623617,0.0,0.0,4.287247624999999,29.967868868,1.830790728,11.460450416,3.002664389,0.0,1.48050439,7.926183126,22.700939349000002,35.414818481,1.251230687,0.0,20.108309263000002,9.521745558,0.0,0.0,0.0,0.740243419,12.57599961,0.0,0.740243419,4.441517122,3.002664389,24.452135782000003,6.049365997,3.432350305,14.703164637,0.625623617,2.26242097,26.221388395,0.0,1.48050439,16.596869785,30.219085168,0.0,0.0,3.3529682789999997,26.580509614999997,14.269087155000001,31.256184439,0.0,1.876802186,0.740243419,3.318735002,0.740243419,1.365867036,1.716170926,4.677126761,1.830790728,1.365867036,121.91877342500001,0.625623617,1.830790728,17.524539477,20.668220282,7.961475629,3.318735002,0.0,4.287247624999999,0.0,0.740243419,2.1061280069999997,7.575871788,10.63590053,0.625623617,1.48050439,2.181119618,22.211363887,0.0,44.782910743,33.785205078000004,0.0,6.204050458999999,8.277296994,6.985967039,19.136381539000002,11.07046944,0.625623617,4.987786474,1.090547309,14.490463196,3.3529682789999997,3.007375143,5.573740413,0.740243419,15.478686189000001,1.48050439,4.097922452,1.365867036,0.0,44.446487626999996,0.625623617,0.0,2.181119618,1.830790728,6.943951443,51.54562920400001,30.108380738,0.0,13.451939007,1.876802186,14.004498717,2.3417779960000003,27.946918056999998,14.101837666999998,11.361941162,14.087854471,10.106090482,12.638738330999999,0.0,24.13256021,0.251926283,0.068824257,0.041295757,0.13676301100000002,0.0,0.002912167,0.145341064,0.123624645,0.022699633,0.0,0.224137589,0.0,2.356160493,0.0,0.228524757,0.03631105,0.831727499,1.799690348,0.0,0.21984162000000002,3,3
8x8,0.579174054,4.898554323,108.525775994,15.691199868,3.434311103,64.841728257,36.61065764,40.769546356,2.29128797,1.678116432,12.729107668000001,14.421489779,15.711893015000001,3.0106717539999996,14.072370626,25.801179867000002,72.264577269,7.145843643,4.746586724,7.186786865,39.103444579000005,15.028018027000002,5.164416004,0.579174054,7.327338182,49.28379663599999,6.044537783999999,39.628029955,4.956253595,0.594593539,3.370145707,3.687954092,75.77223715299999,85.68292025900001,2.3289673840000003,0.0,10.980230701,24.958618010000002,2.860396662,4.606808314,4.360142273999999,6.1079924299999995,5.473779557,0.753517078,3.093360553,0.0,2.43163351,23.527044506,22.866616790000002,51.513295755,10.863279493,0.753517078,3.093360553,44.693639018,0.594593539,2.2642186310000003,13.6056705,66.014364441,4.930891785,0.0,13.988806149000002,28.463712625,19.115237719,24.626937647000005,2.895919728,3.390196036,3.019320201,0.545218859,0.545218859,1.090451038,7.542447246,4.282533134,5.344905906999999,2.230317957,183.93545358699998,0.0,3.044626949,33.685092758,32.988261267999995,15.588626536999998,3.093360553,8.006454509000001,42.231708317,3.9439761530000004,0.753517078,0.0,3.5784140769999997,11.7260829,1.090451038,1.7120716269999998,5.684557229999999,44.953118833000005,1.727491112,50.79529294600001,27.089431929000003,6.162486393,15.160710198,4.048472559,3.026227049,33.301372357,13.282619455999999,0.0,11.492448047,1.718986452,11.024509125000002,1.332691132,0.594593539,2.306665166,1.173767593,49.334584742000004,3.0448050479999997,1.3481106170000001,15.537335339,1.298735937,104.956557923,1.944064059,0.594593539,2.860396662,3.5983504679999996,11.653947763,12.670062849999999,10.041525082,0.0,7.063575972999999,2.322070154,70.008102503,4.927017406999999,18.208224801,1.678116432,22.114612688,13.495419204,20.488677109,12.489732131,0.545218859,47.123040063000005,0.343720476,0.11270391299999999,0.022170711,0.31416109600000003,0.011730867,0.095564752,0.385110947,0.164529872,0.0,0.006207152,0.457187424,0.605166177,3.299719741,0.0,0.34864755399999997,0.093146835,1.377440073,0.697159928,0.017372748,0.439306621,5,5
9x9,0.0,0.0,24.065045721,6.321088386,0.0,13.56129499,5.352431637,5.658744543,0.0,0.0,1.937311462,5.5055629040000005,0.0,0.0,0.0,0.0,12.643081822000001,1.784133141,1.937311462,1.784133141,5.352431637,0.0,1.937311462,0.0,0.0,39.2531619,0.0,12.795258478000001,3.721444603,0.0,0.0,0.0,7.289743099,13.56129499,0.0,0.0,4.843189889,1.937311462,0.0,1.784133141,0.0,7.596060373,0.968656749,0.0,0.0,0.0,0.0,6.321088386,4.690023067,11.317484798,2.75278989,0.0,0.0,2.905889926,0.968656749,1.784133141,1.784133141,6.321088386,0.968656749,1.784133141,5.352431637,5.658744543,4.690023067,19.115333528999997,0.0,0.0,0.0,1.784133141,0.968656749,0.0,0.0,0.968656749,0.0,1.937311462,34.715394161,0.0,1.784133141,3.721444603,1.937311462,1.784133141,2.75278989,0.0,2.75278989,8.920647076,0.0,0.0,0.0,0.0,0.0,1.937311462,0.0,7.289743099,0.0,12.948471657,0.968656749,0.0,0.968656749,0.968656749,0.0,5.811927232,5.352431637,0.0,0.968656749,0.968656749,0.0,0.0,0.0,1.937311462,2.75278989,3.721444603,0.0,1.937311462,0.968656749,0.0,26.76514846,0.0,0.0,0.968656749,0.0,2.905889926,1.937311462,4.843189889,0.0,4.536908191,0.0,12.795258478000001,0.0,0.0,0.0,0.968656749,1.937311462,2.75278989,1.937311462,0.0,10.65467051,0.000614818,0.0,0.017520576,0.04198148,0.0,0.003574244,0.076527182,0.0,0.0,0.0,0.0,0.0,0.44721962,0.0,0.0,0.309784962,0.22671835699999998,0.011842228,0.0,0.0,1,1
