coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Excitatory,Endothelial3,Excitatorycells
0x0,1.448612149,2.897265563,1.448612149,6.721825801,0.0,0.0,10.6439411,1.120313117,0.0,0.560163093,10.179165901,0.560163093,0.0,0.0,0.0,2.008775242,11.76438809,0.560163093,0.0,1.448612149,1.120313117,0.560163093,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,9.522041249,1.680464131,1.120313117,0.0,1.448612149,0.0,0.0,0.560163093,0.0,0.560163093,22.269325966,0.560163093,0.0,10.14037987,0.0,0.560163093,2.240634118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.452368399000001,0.0,0.560163093,3.921075182,16.438480165999998,4.80955103,1.448612149,0.0,0.0,0.0,0.0,0.560163093,0.0,1.120313117,0.0,0.560163093,0.0,9.715614248,15.93557709,0.0,15.044763413,6.721825801,0.560163093,0.0,0.560163093,0.0,1.448612149,0.0,0.0,19.04472027,0.560163093,2.568925266,3.921075182,0.0,16.110277866,0.0,13.541206662999999,1.120313117,0.0,1.120313117,0.0,2.568925266,0.0,0.0,0.560163093,0.560163093,123.696806993,0.560163093,0.0,1.120313117,1.448612149,4.345889776,16.24249068,0.0,0.0,1.120313117,1.448612149,8.962308815,2.240634118,0.560163093,0.560163093,0.560163093,0.0,0.0,0.0,0.0,0.0,0.0,13.44441641,0.0,1.120313117,0.0,0.0,3.921075182,1.448612149,0.560163093,0.0,4.345889776,0.01111404,0.036487336,0.025257606,0.07044076,0.0,0.0,0.0,0.01280025,0.0,0.0,0.078633737,0.0,0.187189372,0.0,0.050427299,0.0,0.514923413,0.0,0.0,0.0,1.0,1.0,[0]
1x1,2.032145239,0.677374359,1.354778164,8.75397104,0.0,2.032145239,12.676086339,1.7976874760000001,0.0,0.560163093,7.959274697,1.9149412570000002,0.0,0.677374359,0.0,6.656594348,17.183426878,1.237537452,1.354778164,0.677374359,4.507235999,3.269702594,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,3.269702594,0.677374359,1.120313117,1.120313117,1.9149412570000002,10.199415608,4.390003632,1.120313117,0.0,2.032145239,0.677374359,0.0,1.237537452,0.677374359,0.560163093,18.600810549000002,1.237537452,0.0,19.64429232,0.0,1.237537452,2.918008477,1.354778164,0.0,0.677374359,0.0,5.419038788,0.677374359,0.677374359,2.709539501,19.422795038,0.0,1.237537452,4.598449541,20.80486122,3.360938881,2.709539501,0.677374359,0.0,4.06430671,0.0,0.560163093,1.354778164,2.475091281,4.741693427,0.560163093,0.0,9.34011397,0.0,0.0,9.366120443,8.076603965,1.237537452,0.0,0.560163093,0.0,0.677374359,0.0,0.0,19.04472027,1.9149412570000002,1.120313117,4.598449541,1.354778164,13.796533329,0.0,11.321315459,4.507235999,0.0,1.120313117,0.677374359,1.120313117,0.677374359,1.354778164,1.9149412570000002,0.560163093,43.231853243,0.560163093,0.0,1.120313117,0.0,4.06430671,17.597268844,0.0,1.354778164,5.184619827000001,1.354778164,10.317086979,2.240634118,0.560163093,0.560163093,22.237915013,0.0,0.0,0.0,0.0,1.354778164,0.0,13.44441641,0.0,1.7976874760000001,0.0,0.0,4.598449541,0.0,0.560163093,0.677374359,0.0,0.085724017,0.036487336,0.0,0.032228866,0.0,0.0,0.0,0.01280025,0.0,0.0,0.078633737,0.0,0.0,0.0,0.050427299,0.0,0.348764481,0.246967114,0.0,0.0,1.0,1.0,[1]
2x2,12.91874249,12.91874249,0.0,6.721825801,0.0,1.291975653,10.6439411,1.120313117,0.0,0.560163093,8.573875991,1.852138746,0.0,0.0,0.0,0.560163093,13.056363743,0.560163093,0.0,0.0,2.41228877,0.560163093,0.560163093,0.560163093,8.962308815,2.240634118,3.144097066,0.560163093,0.0,1.120313117,1.120313117,0.560163093,14.689979255,1.680464131,1.120313117,0.0,0.0,0.0,0.0,0.560163093,0.0,1.852138746,19.215411843000002,0.560163093,0.0,0.0,0.0,0.560163093,2.240634118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291975653,14.00375625,0.0,0.560163093,3.921075182,18.395793808999997,7.236897374,0.0,0.0,0.0,0.0,0.0,0.560163093,1.291975653,1.120313117,0.0,0.560163093,0.0,9.089013188,0.0,0.0,0.560163093,6.721825801,1.852138746,0.0,0.560163093,0.0,0.0,0.0,0.0,19.04472027,0.560163093,1.120313117,3.921075182,0.0,11.76438809,0.0,10.6439411,1.120313117,0.0,1.120313117,0.0,2.41228877,0.0,0.0,0.560163093,0.560163093,26.401243933,0.560163093,0.0,1.120313117,0.0,1.291975653,16.24249068,0.0,0.0,3.70424709,0.0,10.254284468,2.240634118,0.560163093,0.560163093,0.560163093,0.0,0.0,0.0,0.0,0.0,0.0,14.736392063,2.583933973,1.120313117,1.291975653,0.0,3.921075182,3.875958493,0.560163093,0.0,1.291975653,0.024624651,0.036487336,0.013472806,0.046306724,0.0,0.0,0.0,0.01280025,0.0,0.0,0.078633737,0.0,0.111754766,0.0,0.050427299,0.0,0.345562077,0.052916666,0.0,0.0,1.0,1.0,[2]
3x3,5.100283239,7.650475889,1.275097431,7.996923231999999,1.275097431,0.0,10.6439411,1.120313117,0.0,0.560163093,14.932376226999999,0.560163093,1.275097431,0.0,0.0,0.560163093,14.314565040000002,1.8352605240000002,0.0,2.55017695,3.6704900670000002,3.110340043,1.8352605240000002,0.560163093,8.962308815,2.240634118,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,12.072218199000002,5.505716138,1.120313117,0.0,0.0,0.0,0.0,0.560163093,0.0,0.560163093,24.298741446,0.560163093,0.0,6.375305256,0.0,0.560163093,2.240634118,1.275097431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.00375625,0.0,0.560163093,3.921075182,15.744224338999999,3.360938881,0.0,0.0,0.0,1.275097431,0.0,0.560163093,1.275097431,1.120313117,0.0,0.560163093,0.0,17.945574212,14.02449903,0.0,9.485608387,6.721825801,0.560163093,0.0,3.110340043,0.0,0.0,0.0,0.0,19.04472027,0.560163093,1.120313117,3.921075182,0.0,14.314565040000002,0.0,10.6439411,1.120313117,5.100283239,1.120313117,0.0,2.395410548,0.0,0.0,0.560163093,0.560163093,114.032355293,4.3854151,0.0,1.120313117,0.0,2.55017695,16.24249068,0.0,0.0,1.120313117,0.0,10.237406246,2.240634118,0.560163093,0.560163093,0.560163093,0.0,0.0,0.0,0.0,1.275097431,0.0,13.44441641,0.0,1.120313117,0.0,0.0,3.921075182,0.0,1.8352605240000002,0.0,1.275097431,0.002912167,0.044860548,0.023082604,0.06766424500000001,0.0,0.005364625,0.0,0.01280025,0.0,0.0,0.100314462,0.0,0.281297563,0.0,0.050427299,0.031295209,0.36162057000000003,0.006533653,0.0,0.0,1.0,1.0,[3]
4x4,4.746454866,0.0,0.0,6.721825801,0.0,0.0,13.017202524999998,1.120313117,0.0,2.933424518,14.401600644999998,0.560163093,0.0,0.0,0.0,0.560163093,11.76438809,0.560163093,0.0,0.0,1.120313117,5.3066179589999996,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,11.895302674,1.680464131,1.120313117,0.0,0.0,0.0,0.0,0.560163093,2.373261425,0.560163093,20.296697615,0.560163093,0.0,33.22157552,0.0,0.560163093,2.240634118,0.0,0.0,2.373261425,0.0,0.0,0.0,0.0,2.373261425,14.00375625,0.0,0.560163093,6.294336607,27.25558923,3.360938881,9.493007904,0.0,0.0,7.119700307,0.0,0.560163093,0.0,3.493574542,0.0,0.560163093,0.0,8.667530048,0.0,2.373261425,12.424873073,6.721825801,0.560163093,0.0,0.560163093,0.0,0.0,0.0,0.0,19.04472027,0.560163093,1.120313117,3.921075182,0.0,11.76438809,0.0,10.6439411,1.120313117,0.0,1.120313117,0.0,8.240013423999999,0.0,0.0,0.560163093,0.560163093,24.294484503,0.560163093,0.0,1.120313117,0.0,4.746454866,16.24249068,0.0,0.0,8.240013423999999,0.0,8.962308815,2.240634118,0.560163093,0.560163093,33.781738613,2.373261425,0.0,0.0,0.0,0.0,0.0,18.190871276,0.0,1.120313117,0.0,0.0,3.921075182,0.0,0.560163093,0.0,2.373261425,0.002912167,0.056519814,0.015588326,0.051682786,0.0,0.004387271,0.011314421,0.01280025,0.0,0.0,0.078633737,0.0,0.0,0.006760343,0.050427299,0.027940554,0.398710774,0.017149055,0.0,0.0,1.0,1.0,[4]
5x5,1.448612149,3.413687296,4.0306485919999995,9.811849706,0.0,0.516421733,3.614875615,16.52669382,0.0,0.0,4.4465013110000005,0.0,0.0,1.032825032,0.516421733,16.941625099,5.68051587,0.516421733,0.516421733,1.448612149,1.032825032,0.0,0.516421733,0.0,0.0,0.0,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,5.68051587,2.582036443,0.516421733,0.0,1.448612149,1.549235748,0.0,0.0,0.516421733,0.516421733,4.345889776,0.0,0.0,10.14037987,0.0,7.229813622,4.131330645,4.131330645,2.065631854,0.516421733,0.516421733,0.0,0.0,1.032825032,1.032825032,10.742987516000001,0.0,0.0,1.032825032,11.991514164,2.481437181,22.105697099,0.0,1.549235748,0.0,0.516421733,1.549235748,0.0,0.516421733,0.516421733,0.0,0.0,12.507835104,15.93557709,0.0,15.517425352,0.0,1.032825032,0.0,0.0,1.549235748,1.448612149,0.516421733,0.516421733,1.032825032,9.294375367,2.481437181,0.0,1.032825032,10.026405646,0.516421733,26.135445213,2.065631854,0.516421733,2.582036443,0.0,2.9978478969999998,0.0,11.36232054,0.0,1.549235748,123.1366439,0.0,0.0,0.0,1.448612149,4.345889776,5.164104604,0.0,0.516421733,0.0,1.448612149,10.32921973,0.0,0.0,0.516421733,0.516421733,1.032825032,0.0,0.516421733,0.516421733,1.032825032,0.0,6.713296038,0.0,0.0,0.516421733,2.065631854,3.614875615,1.448612149,0.0,0.0,4.345889776,0.008201873,0.0,0.025257606,0.046412606,0.016352126,0.0,0.117066428,0.0,0.0,0.0,0.063623686,0.0,0.187189372,0.0,0.011299983,0.0,0.567712436,0.0,0.0,0.0,1.0,1.0,[0]
6x6,2.032145239,1.193796092,3.9368146069999996,11.843994945,0.0,2.548566972,5.647020854,17.204068179,0.0,0.0,2.226610107,1.354778164,0.0,1.7101993910000002,0.516421733,21.589444205,11.099554657999999,1.193796092,1.8711998970000001,0.677374359,4.419747914,2.709539501,0.516421733,0.0,0.0,0.0,0.516421733,5.291575944,1.193796092,0.0,0.0,1.354778164,6.357890229,5.291575944,0.516421733,0.0,2.032145239,2.226610107,0.0,0.677374359,1.193796092,0.516421733,0.677374359,0.677374359,0.0,19.64429232,0.0,7.907187981,4.808705004,5.486108809,2.065631854,1.193796092,0.516421733,5.419038788,0.677374359,1.7101993910000002,3.742364533,14.713414155,0.0,0.677374359,1.7101993910000002,16.357895218,1.032825032,23.366624451,0.677374359,1.549235748,4.06430671,0.516421733,1.549235748,1.354778164,1.8711998970000001,5.258115160000001,0.0,0.0,12.132334826000001,0.0,0.0,9.838782382,1.354778164,1.7101993910000002,0.0,0.0,1.549235748,0.677374359,0.516421733,0.516421733,1.032825032,10.649153531000001,1.032825032,0.677374359,2.387603196,7.712661109,0.516421733,23.915554009,5.452554736,0.516421733,2.582036443,0.677374359,1.549235748,0.677374359,12.717098704000001,1.354778164,1.549235748,42.67169015,0.0,0.0,0.0,0.0,4.06430671,6.518882768,0.0,1.8711998970000001,4.06430671,1.354778164,11.683997894,0.0,0.0,0.516421733,22.194173653,1.032825032,0.0,0.516421733,0.516421733,2.387603196,0.0,6.713296038,0.0,0.677374359,0.516421733,2.065631854,4.292249974,0.0,0.0,0.677374359,0.0,0.08281185,0.0,0.0,0.008200712,0.016352126,0.0,0.117066428,0.0,0.0,0.0,0.063623686,0.0,0.0,0.0,0.011299983,0.0,0.401553504,0.246967114,0.0,0.0,1.0,1.0,[1]
7x7,12.91874249,13.435164223,2.582036443,9.811849706,0.0,1.808397386,3.614875615,16.52669382,0.0,0.0,2.841211401,1.291975653,0.0,1.032825032,0.516421733,15.49301295,6.9724915229999995,0.516421733,0.516421733,0.0,2.324800685,0.0,0.516421733,0.0,0.0,0.0,3.100355706,2.582036443,0.516421733,0.0,0.0,0.0,10.848453876,2.582036443,0.516421733,0.0,0.0,1.549235748,0.0,0.0,0.516421733,1.808397386,1.291975653,0.0,0.0,0.0,0.0,7.229813622,4.131330645,4.131330645,2.065631854,0.516421733,0.516421733,0.0,0.0,1.032825032,2.324800685,9.294375367,0.0,0.0,1.032825032,13.948827807,4.9087835250000005,20.65708495,0.0,1.549235748,0.0,0.516421733,1.549235748,1.291975653,0.516421733,0.516421733,0.0,0.0,11.881234044,0.0,0.0,1.032825032,0.0,2.324800685,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,1.032825032,9.294375367,1.032825032,0.0,1.032825032,5.68051587,0.516421733,23.23817965,2.065631854,0.516421733,2.582036443,0.0,2.841211401,0.0,11.36232054,0.0,1.549235748,25.84108084,0.0,0.0,0.0,0.0,1.291975653,5.164104604,0.0,0.516421733,2.583933973,0.0,11.621195383,0.0,0.0,0.516421733,0.516421733,1.032825032,0.0,0.516421733,0.516421733,1.032825032,0.0,8.005271691,2.583933973,0.0,1.808397386,2.065631854,3.614875615,3.875958493,0.0,0.0,1.291975653,0.021712484,0.0,0.013472806,0.02227857,0.016352126,0.0,0.117066428,0.0,0.0,0.0,0.063623686,0.0,0.111754766,0.0,0.011299983,0.0,0.3983511,0.052916666,0.0,0.0,1.0,1.0,[2]
8x8,5.100283239,8.166897622,3.8571338739999996,11.086947137000001,1.275097431,0.516421733,3.614875615,16.52669382,0.0,0.0,9.199711637,0.0,1.275097431,1.032825032,0.516421733,15.49301295,8.23069282,1.791519164,0.516421733,2.55017695,3.583001982,2.55017695,1.791519164,0.0,0.0,0.0,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,8.23069282,6.407288449999999,0.516421733,0.0,0.0,1.549235748,0.0,0.0,0.516421733,0.516421733,6.375305256,0.0,0.0,6.375305256,0.0,7.229813622,4.131330645,5.406428076,2.065631854,0.516421733,0.516421733,0.0,0.0,1.032825032,1.032825032,9.294375367,0.0,0.0,1.032825032,11.297258337,1.032825032,20.65708495,0.0,1.549235748,1.275097431,0.516421733,1.549235748,1.275097431,0.516421733,0.516421733,0.0,0.0,20.737795068,14.02449903,0.0,9.958270326,0.0,1.032825032,0.0,2.55017695,1.549235748,0.0,0.516421733,0.516421733,1.032825032,9.294375367,1.032825032,0.0,1.032825032,8.23069282,0.516421733,23.23817965,2.065631854,5.616704972000001,2.582036443,0.0,2.824333179,0.0,11.36232054,0.0,1.549235748,113.4721922,3.825252007,0.0,0.0,0.0,2.55017695,5.164104604,0.0,0.516421733,0.0,0.0,11.604317161,0.0,0.0,0.516421733,0.516421733,1.032825032,0.0,0.516421733,0.516421733,2.307922463,0.0,6.713296038,0.0,0.0,0.516421733,2.065631854,3.614875615,0.0,1.275097431,0.0,1.275097431,0.0,0.008373212,0.023082604,0.043636091,0.016352126,0.005364625,0.117066428,0.0,0.0,0.0,0.085304411,0.0,0.281297563,0.0,0.011299983,0.031295209,0.414409593,0.006533653,0.0,0.0,1.0,1.0,[3]
9x9,4.746454866,0.516421733,2.582036443,9.811849706,0.0,0.516421733,5.98813704,16.52669382,0.0,2.373261425,8.668936055,0.0,0.0,1.032825032,0.516421733,15.49301295,5.68051587,0.516421733,0.516421733,0.0,1.032825032,4.746454866,0.516421733,0.0,0.0,0.0,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,8.053777295,2.582036443,0.516421733,0.0,0.0,1.549235748,0.0,0.0,2.889683158,0.516421733,2.373261425,0.0,0.0,33.22157552,0.0,7.229813622,4.131330645,4.131330645,2.065631854,2.889683158,0.516421733,0.0,0.0,1.032825032,3.406086457,9.294375367,0.0,0.0,3.406086457,22.808623228,1.032825032,30.150092854,0.0,1.549235748,7.119700307,0.516421733,1.549235748,0.0,2.889683158,0.516421733,0.0,0.0,11.459750904,0.0,2.373261425,12.897535012,0.0,1.032825032,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,1.032825032,9.294375367,1.032825032,0.0,1.032825032,5.68051587,0.516421733,23.23817965,2.065631854,0.516421733,2.582036443,0.0,8.668936055,0.0,11.36232054,0.0,1.549235748,23.73432141,0.0,0.0,0.0,0.0,4.746454866,5.164104604,0.0,0.516421733,7.119700307,0.0,10.32921973,0.0,0.0,0.516421733,33.737997253,3.406086457,0.0,0.516421733,0.516421733,1.032825032,0.0,11.459750904,0.0,0.0,0.516421733,2.065631854,3.614875615,0.0,0.0,0.0,2.373261425,0.0,0.020032478,0.015588326,0.027654632,0.016352126,0.004387271,0.128380849,0.0,0.0,0.0,0.063623686,0.0,0.0,0.006760343,0.011299983,0.027940554,0.451499797,0.017149055,0.0,0.0,1.0,1.0,[4]
