coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Ambiguous,Microglia
0x0,0.891907941,0.597533596,16.954790403,1.195078217,0.0,18.72876956,1.792608143,4.7715816890000005,0.0,0.0,5.966678856000001,4.477231641,1.792608143,0.597533596,0.0,1.489441537,9.552003592,6.867322123,0.597533596,2.987769065,0.0,2.978890841,0.597533596,0.0,0.0,1.792608143,0.0,1.195078217,2.684516084,0.0,1.195078217,0.597533596,18.177544478,10.114126402,0.0,0.0,0.0,6.867322123,0.0,0.0,0.0,0.891907941,0.597533596,0.891907941,1.195078217,0.0,0.597533596,8.062433634,4.7715816890000005,0.597533596,0.0,0.0,0.891907941,0.0,0.891907941,2.086986158,0.597533596,9.525578872,1.489441537,1.489441537,3.5853237,4.762698576,2.684516084,1.195078217,0.0,1.792608143,0.891907941,0.0,0.0,0.0,0.597533596,1.783812624,0.0,0.0,22.608307445,0.0,0.0,2.390158475,10.75709426,16.357260477,0.0,0.597533596,1.489441537,0.0,0.0,0.597533596,1.792608143,2.38134622,0.0,0.0,0.0,8.348048411,0.0,12.834134664,2.978890841,8.96322642,4.173971099,4.165153955,0.597533596,2.675784144,0.0,0.0,2.390158475,1.195078217,1.792608143,0.0,0.0,46.38053933,0.0,10.417502637,2.086986158,0.0,10.711656328,1.195078217,20.297263729,0.0,0.891907941,0.0,0.0,12.504371885,4.459589628,11.915848449,0.0,0.0,0.597533596,6.564240676000001,0.0,5.377933695,2.684516084,0.0,6.269841636000001,1.792608143,0.0,3.879677006,12.48652308,0.09235080200000001,0.005579243,0.024863438,0.055728566,0.0,0.0,0.0,0.0,0.0,0.0,0.095935984,0.0,0.092401103,0.0,0.066470876,0.006917607,0.464791177,0.0,0.0,0.071112284,1.0,1.0
1x1,0.0,0.597533596,1.792608143,1.195078217,0.0,6.022148348,1.792608143,2.987769065,0.0,0.0,4.182866232,9.607472048,1.792608143,0.597533596,0.0,0.597533596,19.811866888,5.975414182,0.597533596,2.987769065,0.0,1.195078217,0.597533596,0.0,0.0,7.814756491,0.0,1.195078217,1.792608143,0.0,1.195078217,0.597533596,8.365694772,1.195078217,0.0,0.0,0.0,5.975414182,0.0,0.0,0.0,0.0,12.641209516,0.0,1.195078217,0.0,6.619681944,7.170525693,2.987769065,0.597533596,0.0,0.0,0.0,6.022148348,0.0,1.195078217,0.597533596,2.390158475,0.597533596,6.619681944,3.5853237,1.195078217,1.792608143,1.195078217,0.0,7.814756491,0.0,0.0,0.0,0.0,0.597533596,24.08996179,0.0,0.0,2.987769065,0.0,0.0,2.390158475,10.75709426,1.195078217,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,0.597533596,6.022148348,0.0,0.0,4.780428052,0.0,10.15835052,1.195078217,8.96322642,2.390158475,0.597533596,0.597533596,0.0,0.0,6.022148348,14.433834395,1.195078217,1.792608143,0.0,0.0,102.3713052,0.0,2.390158475,1.195078217,0.0,1.792608143,1.195078217,22.751791718,0.0,0.0,0.0,0.0,9.607472048,0.0,4.780428052,0.0,0.0,0.597533596,16.824103972,6.022148348,5.377933695,1.792608143,0.0,5.377933695,1.792608143,0.0,2.987769065,0.0,0.068389354,0.0,0.019678589,0.031824205,0.002447184,0.0,0.0,0.0,0.0,0.0,0.081697933,0.0,0.06299201,0.0,0.066470876,0.006154792,0.40354492200000003,0.005567434,0.000391101,0.071112284,1.0,1.0
2x2,0.0,3.487447597,1.792608143,4.084992218,0.0,0.0,3.237558244,2.987769065,0.0,0.0,5.627816333,3.5853237,1.792608143,0.597533596,1.444950101,7.822421733,17.882948677999998,7.420364283,0.597533596,2.987769065,0.0,1.195078217,0.597533596,0.0,1.444950101,1.792608143,1.444950101,2.640028318,3.237558244,0.0,1.195078217,0.597533596,11.255608772999999,4.084992218,0.0,0.0,0.0,5.975414182,0.0,0.0,0.0,0.0,0.597533596,0.0,1.195078217,0.0,0.597533596,7.170525693,2.987769065,2.042483697,0.0,0.0,0.0,4.334945658,1.444950101,1.195078217,0.597533596,6.725104132999999,0.597533596,9.267389445,3.5853237,1.195078217,1.792608143,4.084992218,0.0,1.792608143,0.0,1.444950101,0.0,0.0,0.597533596,0.0,0.0,1.444950101,4.432719166,0.0,0.0,2.390158475,15.092039918000001,1.195078217,0.0,0.597533596,3.487447597,0.0,0.0,0.597533596,1.792608143,2.042483697,0.0,0.0,0.0,10.560276718,0.0,11.603300621,1.195078217,10.408176521,2.390158475,2.042483697,0.597533596,0.0,0.0,0.0,12.504916184999999,1.195078217,1.792608143,0.0,0.0,65.02372147,0.0,18.286784814999997,1.195078217,0.0,10.462463992,1.195078217,19.619557371000003,0.0,0.0,1.444950101,0.0,6.475237701,0.0,6.225378153,0.0,0.0,0.597533596,9.11537371,0.0,5.377933695,3.237558244,1.444950101,6.822883796,3.237558244,0.0,2.987769065,0.0,0.066001952,0.0,0.012209246,0.028476948000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.081697933,0.0,0.350500199,0.0,0.066470876,0.109415116,0.27844910700000003,0.31084095,0.0,0.071112284,1.0,1.0
3x3,0.0,1.566961106,26.027415862999998,2.164505727,0.484704415,19.87372704,1.792608143,4.441912828,0.484704415,0.0,5.152293742,4.070028115,5.185595972,1.566961106,0.0,0.597533596,9.706990757,6.460118597,0.597533596,3.47247348,0.0,2.64922198,0.597533596,0.484704415,0.0,1.792608143,0.0,1.195078217,4.216184354,0.0,1.195078217,1.566961106,14.666823404999999,12.342944417,0.0,0.0,1.454143763,6.460118597,0.0,0.0,0.484704415,0.0,0.597533596,0.0,1.195078217,0.0,0.597533596,7.170525693,4.926568854,0.597533596,0.0,0.0,0.0,0.0,0.484704415,1.195078217,1.082238011,4.813734686,0.597533596,0.597533596,3.5853237,9.435036278,1.792608143,1.679782632,0.484704415,1.792608143,0.96942751,0.484704415,0.0,0.0,1.082238011,0.96942751,0.0,0.96942751,36.917882825,0.0,0.0,2.390158475,11.726521770000002,1.195078217,0.0,1.566961106,0.597533596,0.0,0.484704415,0.597533596,3.246751906,1.082238011,0.484704415,0.484704415,0.0,4.780428052,0.0,12.097150309,3.1338780059999998,9.447930835,2.390158475,3.505762569,0.597533596,5.33184099,0.484704415,0.0,2.8748628899999997,1.195078217,1.792608143,0.96942751,0.0,37.80610014,0.0,8.206635888000001,1.195078217,0.0,3.7314079319999998,2.164505727,17.214347785,0.0,0.484704415,0.484704415,0.96942751,6.493552673,3.87764288,7.688657025,0.0,0.0,0.597533596,5.265132467000001,0.0,5.377933695,2.277312558,2.423576211,7.316733484,1.792608143,0.484704415,2.987769065,9.693010665,0.066001952,0.041643241,0.016091925,0.056452619,0.0,0.023056926,0.0,0.085128075,0.0,0.0,0.081697933,0.0,0.704564253,0.0,0.066470876,0.006154792,0.25879530900000003,0.0,0.0,0.071112284,1.0,1.0
4x4,0.0,0.597533596,1.792608143,1.195078217,1.168652664,2.337336513,1.792608143,2.987769065,0.0,1.168652664,4.182866232,3.5853237,1.792608143,0.597533596,0.0,0.597533596,12.442852984,5.975414182,0.597533596,7.662431081,2.337336513,1.195078217,0.597533596,0.0,0.0,1.792608143,0.0,1.195078217,1.792608143,0.0,1.195078217,0.597533596,11.871682452,1.195078217,0.0,0.0,0.0,7.144066845999999,5.843212087,0.0,1.168652664,0.0,1.76618626,0.0,1.195078217,4.674662016,1.76618626,9.507862206,2.987769065,0.597533596,0.0,0.0,0.0,1.168652664,0.0,1.195078217,0.597533596,5.896146155,0.597533596,0.597533596,3.5853237,8.207060864,1.792608143,1.195078217,0.0,1.792608143,0.0,0.0,0.0,0.0,1.76618626,4.674662016,0.0,0.0,6.493756745000001,0.0,0.0,3.5588111389999995,11.925746924,1.195078217,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,1.76618626,0.0,1.168652664,0.0,4.780428052,0.0,12.495687033000001,2.363730881,8.96322642,2.390158475,0.597533596,0.597533596,0.0,0.0,0.0,3.5588111389999995,28.075542397,1.792608143,0.0,0.0,82.96533016,1.168652664,9.402141122,1.195078217,0.0,9.973185619,3.53241473,16.72964337,0.0,0.0,0.0,3.50598768,17.609822729999998,0.0,4.780428052,0.0,0.0,0.597533596,4.780428052,0.0,5.377933695,1.792608143,0.0,5.377933695,1.792608143,0.0,2.987769065,0.0,0.081954912,0.0,0.033180022,0.08059424000000001,0.0,0.001917426,0.0,0.0,0.0,0.0,0.081697933,0.0,0.42274492999999996,0.0,0.066470876,0.021139736,0.322858602,0.000742606,0.001060327,0.071112284,1.0,1.0
5x5,0.891907941,6.908060806,15.16218226,0.0,0.0,20.455737298,1.726967738,1.783812624,0.0,0.0,1.783812624,0.891907941,3.453997819,0.0,0.0,0.891907941,3.510780362,0.891907941,0.0,3.453997819,1.726967738,1.783812624,0.0,0.0,0.0,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,9.811849706,12.373046003999999,0.0,0.0,13.81494352,0.891907941,0.0,0.0,0.0,0.891907941,0.0,0.891907941,0.0,10.36318298,1.726967738,0.891907941,1.783812624,0.0,0.0,0.0,0.891907941,0.0,0.891907941,0.891907941,0.0,8.862388135,0.891907941,0.891907941,0.0,7.021618178000001,4.34590576,0.0,0.0,0.0,7.799968747,0.0,1.726967738,0.0,0.0,3.510780362,0.0,0.0,19.62053838,8.634961864,0.0,5.181017882,0.0,15.16218226,0.0,1.726967738,2.618875679,0.0,0.0,3.453997819,1.726967738,3.510780362,0.0,0.0,0.0,3.567620359,0.0,2.675784144,1.783812624,6.908060806,1.783812624,8.748638241,0.0,2.675784144,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,46.38053933,0.0,8.027344162,2.618875679,6.908060806,8.919048185,1.726967738,5.294588097,0.0,0.891907941,0.0,0.0,10.646015923,4.459589628,7.135420397,0.0,0.0,0.0,1.783812624,0.0,0.0,0.891907941,1.726967738,0.891907941,0.0,0.0,0.891907941,15.940520899,0.029980388,0.095038517,0.052198239,0.079410673,0.0,0.035790683,0.0,0.0,0.0,0.0,0.111223836,0.0,0.121427603,0.0,0.016546384,0.037276404,0.587859804,0.0,0.019736348,0.0,1.0,1.0
6x6,0.0,6.908060806,0.0,0.0,0.0,7.749116086,1.726967738,0.0,0.0,0.0,0.0,6.022148348,3.453997819,0.0,0.0,0.0,13.770643658000001,0.0,0.0,3.453997819,1.726967738,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.453997819,0.0,0.0,13.81494352,0.0,0.0,0.0,0.0,0.0,12.04367592,0.0,0.0,10.36318298,7.749116086,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,1.726967738,0.0,6.022148348,0.0,3.453997819,3.453997819,0.0,0.0,6.022148348,6.908060806,0.0,1.726967738,0.0,0.0,25.816929528,0.0,0.0,0.0,8.634961864,0.0,5.181017882,0.0,0.0,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,1.726967738,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,6.908060806,0.0,5.181017882,0.0,0.0,0.0,6.022148348,12.04367592,0.0,1.726967738,0.0,0.0,102.3713052,0.0,0.0,1.726967738,6.908060806,0.0,1.726967738,7.749116086,0.0,0.0,0.0,0.0,7.749116086,0.0,0.0,0.0,0.0,0.0,12.04367592,6.022148348,0.0,0.0,1.726967738,0.0,0.0,0.0,0.0,3.453997819,0.00601894,0.089459274,0.04701339,0.055506312,0.002447184,0.035790683,0.0,0.0,0.0,0.0,0.096985785,0.0,0.09201851,0.0,0.016546384,0.036513589,0.526613549,0.005567434,0.020127449000000002,0.0,1.0,1.0
7x7,0.0,9.797974807,0.0,2.889914001,0.0,1.726967738,3.171917839,0.0,0.0,0.0,1.444950101,0.0,3.453997819,0.0,1.444950101,7.224888137,11.841725447999998,1.444950101,0.0,3.453997819,1.726967738,0.0,0.0,0.0,1.444950101,0.0,1.444950101,1.444950101,1.444950101,0.0,0.0,0.0,2.889914001,6.343911820000001,0.0,0.0,13.81494352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.36318298,1.726967738,0.0,0.0,1.444950101,0.0,0.0,0.0,4.334945658,1.444950101,0.0,0.0,6.061913396,0.0,8.669855849,0.0,3.453997819,3.453997819,2.889914001,0.0,0.0,6.908060806,1.444950101,1.726967738,0.0,0.0,1.726967738,0.0,1.444950101,1.444950101,8.634961864,0.0,5.181017882,4.334945658,0.0,0.0,1.726967738,4.616881739,0.0,0.0,3.453997819,1.726967738,3.171917839,0.0,0.0,0.0,5.779848666,0.0,1.444950101,0.0,8.353010907,0.0,6.625967983,0.0,0.0,0.0,0.0,10.11475771,0.0,1.726967738,0.0,0.0,65.02372147,0.0,15.89662634,1.726967738,6.908060806,8.669855849,1.726967738,4.616881739,0.0,0.0,1.444950101,0.0,4.616881739,0.0,1.444950101,0.0,0.0,0.0,4.334945658,0.0,0.0,1.444950101,3.171917839,1.444950101,1.444950101,0.0,0.0,3.453997819,0.003631538,0.089459274,0.039544047,0.052159055,0.0,0.035790683,0.0,0.0,0.0,0.0,0.096985785,0.0,0.379526699,0.0,0.016546384,0.139773913,0.401517734,0.31084095,0.019736348,0.0,1.0,1.0
8x8,0.0,7.877488316,24.23480772,0.96942751,0.484704415,21.600694777999998,1.726967738,1.454143763,0.484704415,0.0,0.96942751,0.484704415,6.846985648,0.96942751,0.0,0.0,3.665767527,0.484704415,0.0,3.938702234,1.726967738,1.454143763,0.0,0.484704415,0.0,0.0,0.0,0.0,2.423576211,0.0,0.0,0.96942751,6.301128633,14.601864018999999,0.0,0.0,15.269087283,0.484704415,0.0,0.0,0.484704415,0.0,0.0,0.0,0.0,10.36318298,1.726967738,0.0,1.938799789,0.0,0.0,0.0,0.0,0.0,0.484704415,0.0,0.484704415,4.150543948999999,0.0,0.0,0.0,11.693955879999999,3.453997819,0.484704415,0.484704415,0.0,7.877488316,0.484704415,1.726967738,0.0,0.484704415,2.696395248,0.0,0.96942751,33.93011376,8.634961864,0.0,5.181017882,0.96942751,0.0,0.0,2.696395248,1.726967738,0.0,0.484704415,3.453997819,3.181111501,2.211672153,0.484704415,0.484704415,0.0,0.0,0.0,1.938799789,1.938799789,7.392765221,0.0,8.089246854999999,0.0,5.33184099,0.484704415,0.0,0.484704415,0.0,1.726967738,0.96942751,0.0,37.80610014,0.0,5.816477413,1.726967738,6.908060806,1.938799789,2.696395248,2.211672153,0.0,0.484704415,0.484704415,0.96942751,4.635196711,3.87764288,2.908228973,0.0,0.0,0.0,0.484704415,0.0,0.0,0.484704415,4.150543948999999,1.938799789,0.0,0.484704415,0.0,13.147008483999999,0.003631538,0.131102515,0.043426726,0.080134726,0.0,0.058847608999999995,0.0,0.085128075,0.0,0.0,0.096985785,0.0,0.7335907530000001,0.0,0.016546384,0.036513589,0.381863936,0.0,0.019736348,0.0,1.0,1.0
9x9,0.0,6.908060806,0.0,0.0,1.168652664,4.064304250999999,1.726967738,0.0,0.0,1.168652664,0.0,0.0,3.453997819,0.0,0.0,0.0,6.401629754,0.0,0.0,8.128659835,4.064304250999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.50598768,3.453997819,0.0,0.0,13.81494352,1.168652664,5.843212087,0.0,1.168652664,0.0,1.168652664,0.0,0.0,15.037844996,2.8956204019999996,2.337336513,0.0,0.0,0.0,0.0,0.0,1.168652664,0.0,0.0,0.0,5.2329554179999995,0.0,0.0,0.0,10.465980466,3.453997819,0.0,0.0,0.0,6.908060806,0.0,1.726967738,0.0,1.168652664,6.401629754,0.0,0.0,3.50598768,8.634961864,0.0,6.349670546,1.168652664,0.0,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,2.8956204019999996,0.0,1.168652664,0.0,0.0,0.0,2.337336513,1.168652664,6.908060806,0.0,5.181017882,0.0,0.0,0.0,0.0,1.168652664,26.88046418,1.726967738,0.0,0.0,82.96533016,1.168652664,7.011982647,1.726967738,6.908060806,8.180577476,4.064304250999999,1.726967738,0.0,0.0,0.0,3.50598768,15.751466768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,0.0,3.453997819,0.019584498,0.089459274,0.060514823,0.104276347,0.0,0.037708109,0.0,0.0,0.0,0.0,0.096985785,0.0,0.45177143,0.0,0.016546384,0.051498533,0.445927229,0.000742606,0.020796675,0.0,1.0,1.0
