coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Microglia,ODMature1
0x0,0.891907941,0.0,15.16218226,2.658137286,1.329056371,20.057825931,1.993574012,3.777386636,0.0,0.664523765,2.448336389,0.891907941,0.0,0.0,0.0,0.891907941,9.758100569,0.891907941,0.0,0.0,0.664523765,6.435524325,0.0,0.0,0.664523765,0.0,0.0,0.0,1.5564317060000001,0.0,0.0,0.0,12.469986992,8.919048185,0.664523765,0.0,0.0,1.5564317060000001,0.0,0.0,10.63322157,0.891907941,1.329056371,0.891907941,0.0,0.0,0.0,2.220964312,1.783812624,9.967306986,0.0,0.0,0.891907941,0.664523765,0.891907941,8.866195886,0.664523765,8.464476768,0.891907941,2.220964312,1.993574012,6.225757645,0.891907941,5.316260017,0.664523765,0.0,0.891907941,0.0,0.0,0.0,1.329056371,3.777386636,0.0,0.0,25.601254865999998,0.0,0.664523765,7.309789068,0.664523765,19.813893960999998,0.664523765,0.0,1.5564317060000001,0.0,0.0,0.0,1.329056371,3.1128689950000004,5.316260017,0.0,0.664523765,8.21933206,0.0,5.33392143,3.1128689950000004,0.664523765,1.783812624,4.89667673,0.664523765,2.675784144,1.329056371,0.0,0.664523765,0.0,0.0,0.0,0.0,46.38053933,3.987122086,13.343604179,0.891907941,1.329056371,44.135008035,0.0,5.561194371,0.0,0.891907941,0.0,0.664523765,9.58357195,4.459589628,10.458069674,0.0,0.664523765,0.664523765,4.44194991,0.0,0.0,0.891907941,0.0,0.891907941,1.329056371,0.0,0.891907941,24.44935829,0.02634885,0.016648721000000002,0.024863438,0.040871219,0.223201486,0.0,0.672283867,0.0,0.013825942,0.0,0.014238051,0.035893242,0.029409093,0.0,0.0,0.198390978,0.256970015,0.0,0.0,0.075526214,1.0,1.0
1x1,0.891907941,0.0,16.619492554,0.0,0.0,18.72876956,0.0,1.783812624,0.0,0.0,3.2411229180000003,3.806621589,0.0,0.0,0.0,0.891907941,3.2411229180000003,0.891907941,1.457310294,0.0,4.372049429,1.783812624,0.0,0.0,0.0,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,9.811849706,14.748408082,0.0,0.0,0.0,0.891907941,0.0,0.0,10.20211431,3.806621589,2.914713648,0.891907941,0.0,0.0,0.0,0.891907941,1.783812624,14.57399389,0.0,0.0,0.891907941,1.457310294,0.891907941,8.178577096,0.0,7.135420397,0.891907941,0.891907941,0.0,5.024930653,2.349218235,7.286669155,0.0,0.0,0.891907941,0.0,0.0,0.0,7.286669155,1.783812624,0.0,0.0,23.992587809,0.0,0.0,24.7750787,0.0,15.16218226,0.0,0.0,0.891907941,0.0,0.0,0.0,0.0,3.2411229180000003,0.0,0.0,0.0,5.024930653,0.0,5.590497792000001,1.783812624,0.0,1.783812624,7.939669788,0.0,2.675784144,1.457310294,0.0,0.0,0.0,1.457310294,0.0,0.0,46.38053933,0.0,12.399393590999999,0.891907941,0.0,54.093314135,0.0,5.024930653,0.0,0.891907941,0.0,1.457310294,8.919048185,4.459589628,10.050134045,0.0,0.0,0.0,3.2411229180000003,0.0,1.457310294,0.891907941,0.0,2.349218235,0.0,0.0,0.891907941,28.515948700000003,0.02634885,0.005579243,0.05026506,0.040871219,0.0,0.0,1.446639596,0.0,0.031706104,0.0,0.048396299000000004,0.0,0.029409093,0.0,0.0,0.061441887,0.323415418,0.001517518,0.015233641,0.0,1.0,1.0
2x2,0.891907941,0.0,15.16218226,1.983389796,0.0,21.703887331,0.0,2.775494631,0.0,0.0,1.783812624,2.875297737,0.0,0.0,1.983389796,3.867025712,3.7672024200000003,1.883589948,0.0,0.0,1.983389796,1.783812624,0.0,0.0,0.0,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,14.770391639,8.919048185,0.0,0.0,0.0,1.883589948,0.0,0.0,16.86076268,0.891907941,0.0,0.891907941,0.0,0.0,0.0,2.875297737,1.783812624,1.983389796,0.0,0.0,0.891907941,3.966838056,0.891907941,14.775234131,0.0,13.085663573,0.891907941,0.891907941,0.0,3.567620359,1.883589948,7.933671932,0.0,0.0,0.891907941,0.0,0.0,0.0,3.966838056,1.783812624,0.0,0.0,23.587376436,0.0,0.0,22.8067439,0.0,17.145572056,0.0,0.0,0.891907941,0.0,0.0,0.0,0.0,1.783812624,0.0,0.991682007,0.0,5.551010155,0.0,6.6426222,2.775494631,0.0,1.783812624,7.534458415,1.983389796,2.675784144,0.0,0.0,1.983389796,0.0,0.991682007,0.0,0.0,46.38053933,0.0,11.002461933,0.891907941,0.0,23.793546165,0.0,7.534458415,0.0,0.891907941,0.0,0.0,8.919048185,4.459589628,7.135420397,0.991682007,0.0,0.0,9.717484556,0.0,0.0,0.891907941,0.991682007,1.883589948,0.0,0.0,0.891907941,28.35205333,0.02634885,0.005579243,0.06723606900000001,0.04455591,0.0,0.0,0.296492474,0.0,0.0,0.0,0.109230187,0.010784794,0.029409093,0.010793173,0.0,0.007453152,0.291795302,0.031361701,0.024389221,0.0,1.0,1.0
3x3,1.6110825960000001,0.0,15.16218226,2.157548282,0.0,19.447944215,0.0,3.222184834,2.157548282,1.43837221,1.783812624,0.891907941,0.0,0.0,0.0,0.891907941,7.5373296640000005,0.891907941,0.0,1.43837221,0.719174655,2.502987279,0.0,0.0,5.75351704,7.191812438,0.719174655,0.719174655,0.891907941,0.0,0.0,1.43837221,11.250221916000001,8.919048185,0.0,0.0,0.0,1.6110825960000001,0.0,0.0,16.54284394,0.891907941,3.595999788,2.330280151,0.0,0.0,0.0,4.487907729,1.783812624,13.66560555,0.0,0.719174655,0.891907941,4.315082378,1.6110825960000001,10.240946378999999,1.43837221,17.922331277,0.891907941,0.891907941,1.43837221,5.725168641,1.6110825960000001,1.43837221,0.0,0.719174655,0.891907941,0.719174655,0.0,0.0,11.50834928,5.379812412,0.719174655,0.0,20.339713035,0.0,0.0,15.10274813,0.0,15.16218226,0.0,1.43837221,1.6110825960000001,0.0,0.0,0.0,1.43837221,1.783812624,1.43837221,0.0,0.719174655,6.444390037,2.157548282,4.114156354,1.783812624,0.0,1.783812624,3.567620359,0.0,3.3949587990000003,0.0,0.0,0.0,1.43837221,0.0,0.719174655,0.0,47.099713985,0.0,11.62334395,0.891907941,0.0,56.380899405,0.0,10.04036256,1.43837221,0.891907941,0.0,0.0,11.076596467,5.897961838,16.484458834999998,0.0,0.0,0.0,4.660582302,0.0,0.0,0.891907941,1.43837221,2.330280151,3.595999788,1.43837221,0.891907941,34.7835231,0.02989997,0.015002716999999999,0.049762274,0.064416358,0.0,0.029233705,1.068473684,0.0,0.0,0.0,0.32982634299999997,0.0,0.326618233,0.0,0.020208882,0.000762815,0.260250164,0.0,0.002309854,0.0,1.0,1.0
4x4,0.891907941,0.0,20.605951806,0.0,0.0,24.172539106000002,0.0,1.783812624,0.0,0.0,1.783812624,0.891907941,0.0,0.0,0.0,0.891907941,1.783812624,0.891907941,0.0,0.0,0.0,1.783812624,0.0,0.0,0.0,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,15.255619252,19.806807405,0.0,0.0,0.0,0.891907941,5.443769546,0.0,10.88775922,0.891907941,0.0,0.891907941,0.0,0.0,0.0,6.335677487000001,1.783812624,0.0,0.0,0.0,0.891907941,10.88775922,0.891907941,17.221965291,0.0,12.579189943,0.891907941,0.891907941,0.0,14.455379578999999,6.335677487000001,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,0.0,1.783812624,0.0,0.0,19.62053838,0.0,0.0,5.443769546,0.0,15.16218226,0.0,0.0,0.891907941,0.0,0.0,0.0,0.0,1.783812624,21.77718242,0.0,0.0,3.567620359,0.0,2.675784144,23.560995044,0.0,1.783812624,3.567620359,0.0,2.675784144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.38053933,0.0,8.027344162,0.891907941,0.0,25.249105534999998,0.0,9.011389905000001,0.0,0.891907941,0.0,0.0,8.919048185,4.459589628,7.135420397,0.0,0.0,0.0,1.783812624,0.0,5.443769546,0.891907941,5.443769546,0.891907941,0.0,0.0,0.891907941,12.48652308,0.042774696,0.005579243,0.055598383,0.040871219,0.0,0.0,0.607792506,0.0,0.0,0.0,0.143760846,0.0,0.029409093,0.0,0.0,0.007752681,0.453057781,0.004916784,0.017870904,0.0,1.0,1.0
5x5,0.0,0.0,0.0,2.658137286,1.329056371,7.351204719,1.993574012,1.993574012,0.0,0.664523765,0.664523765,6.022148348,0.0,0.0,0.0,0.0,20.017963865,0.0,0.0,0.0,0.664523765,4.651711701,0.0,0.0,0.664523765,6.022148348,0.0,0.0,0.664523765,0.0,0.0,0.0,2.658137286,0.0,0.664523765,0.0,0.0,0.664523765,0.0,0.0,10.63322157,0.0,13.372732291,0.0,0.0,0.0,6.022148348,1.329056371,0.0,9.967306986,0.0,0.0,0.0,6.686672113,0.0,7.974287945,0.664523765,1.329056371,0.0,7.351204719,1.993574012,2.658137286,0.0,5.316260017,0.664523765,6.022148348,0.0,0.0,0.0,0.0,1.329056371,26.083535802,0.0,0.0,5.980716486,0.0,0.664523765,7.309789068,0.664523765,4.651711701,0.664523765,0.0,0.664523765,0.0,0.0,0.0,1.329056371,1.329056371,11.338408365,0.0,0.664523765,4.651711701,0.0,2.658137286,1.329056371,0.664523765,0.0,1.329056371,0.664523765,0.0,1.329056371,6.022148348,12.708199685,0.0,0.0,0.0,0.0,102.3713052,3.987122086,5.316260017,0.0,1.329056371,35.21595985,0.0,8.01572236,0.0,0.0,0.0,0.664523765,6.686672113,0.0,3.322649277,0.0,0.664523765,0.664523765,14.701813206,6.022148348,0.0,0.0,0.0,0.0,1.329056371,0.0,0.0,11.96283521,0.002387402,0.011069478,0.019678589,0.016966858,0.22564867,0.0,0.672283867,0.0,0.013825942,0.0,0.0,0.035893242,0.0,0.0,0.0,0.197628163,0.19572376,0.005567434,0.000391101,0.075526214,1.0,1.0
6x6,0.0,0.0,1.457310294,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,1.457310294,8.936861996000001,0.0,0.0,0.0,0.0,13.500986214000001,0.0,1.457310294,0.0,4.372049429,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.829359897,0.0,0.0,0.0,0.0,0.0,0.0,10.20211431,2.914713648,14.958389568000001,0.0,0.0,0.0,6.022148348,0.0,0.0,14.57399389,0.0,0.0,0.0,7.479458642,0.0,7.286669155,0.0,0.0,0.0,6.022148348,0.0,1.457310294,1.457310294,7.286669155,0.0,6.022148348,0.0,0.0,0.0,0.0,7.286669155,24.08996179,0.0,0.0,4.372049429,0.0,0.0,24.7750787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.457310294,6.022148348,0.0,0.0,1.457310294,0.0,2.914713648,0.0,0.0,0.0,4.372049429,0.0,0.0,1.457310294,6.022148348,12.04367592,0.0,1.457310294,0.0,0.0,102.3713052,0.0,4.372049429,0.0,0.0,45.17426595,0.0,7.479458642,0.0,0.0,0.0,1.457310294,6.022148348,0.0,2.914713648,0.0,0.0,0.0,13.500986214000001,6.022148348,1.457310294,0.0,0.0,1.457310294,0.0,0.0,0.0,16.02942562,0.002387402,0.0,0.045080210999999995,0.016966858,0.002447184,0.0,1.446639596,0.0,0.031706104,0.0,0.034158248,0.0,0.0,0.0,0.0,0.060679072,0.262169163,0.007084951999999999,0.015624741999999999,0.0,1.0,1.0
7x7,0.0,0.0,0.0,1.983389796,0.0,8.997266118999999,0.0,0.991682007,0.0,0.0,0.0,8.005538143999999,0.0,0.0,1.983389796,2.975117771,14.027065716,0.991682007,0.0,0.0,1.983389796,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,4.958541933,0.0,0.0,0.0,0.0,0.991682007,0.0,0.0,16.86076268,0.0,12.04367592,0.0,0.0,0.0,6.022148348,1.983389796,0.0,1.983389796,0.0,0.0,0.0,9.988986404,0.0,13.88332619,0.0,5.950243176,0.0,6.022148348,0.0,0.0,0.991682007,7.933671932,0.0,6.022148348,0.0,0.0,0.0,0.0,3.966838056,24.08996179,0.0,0.0,3.966838056,0.0,0.0,22.8067439,0.0,1.983389796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.991682007,0.0,1.983389796,0.0,3.966838056,0.991682007,0.0,0.0,3.966838056,1.983389796,0.0,0.0,6.022148348,14.027065716,0.0,0.991682007,0.0,0.0,102.3713052,0.0,2.975117771,0.0,0.0,14.87449798,0.0,9.988986404,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.991682007,0.0,0.0,19.977347852,6.022148348,0.0,0.0,0.991682007,0.991682007,0.0,0.0,0.0,15.86553025,0.002387402,0.0,0.062051220000000004,0.020651549,0.002447184,0.0,0.296492474,0.0,0.0,0.0,0.094992136,0.010784794,0.0,0.010793173,0.0,0.006690337,0.230549047,0.036929135,0.024780322,0.0,1.0,1.0
8x8,0.719174655,0.0,0.0,2.157548282,0.0,6.741323003,0.0,1.43837221,2.157548282,1.43837221,0.0,6.022148348,0.0,0.0,0.0,0.0,17.79719296,0.0,0.0,1.43837221,0.719174655,0.719174655,0.0,0.0,5.75351704,13.213960786000001,0.719174655,0.719174655,0.0,0.0,0.0,1.43837221,1.43837221,0.0,0.0,0.0,0.0,0.719174655,0.0,0.0,16.54284394,0.0,15.639675708,1.43837221,0.0,0.0,6.022148348,3.595999788,0.0,13.66560555,0.0,0.719174655,0.0,10.337230726,0.719174655,9.349038438,1.43837221,10.78691088,0.0,6.022148348,1.43837221,2.157548282,0.719174655,1.43837221,0.0,6.741323003,0.0,0.719174655,0.0,0.0,11.50834928,27.685961578,0.719174655,0.0,0.719174655,0.0,0.0,15.10274813,0.0,0.0,0.0,1.43837221,0.719174655,0.0,0.0,0.0,1.43837221,0.0,7.460520558,0.0,0.719174655,2.876769678,2.157548282,1.43837221,0.0,0.0,0.0,0.0,0.0,0.719174655,0.0,6.022148348,12.04367592,1.43837221,0.0,0.719174655,0.0,103.090479855,0.0,3.595999788,0.0,0.0,47.46185122,0.0,12.494890549,1.43837221,0.0,0.0,0.0,8.17969663,1.43837221,9.349038438,0.0,0.0,0.0,14.920445598,6.022148348,0.0,0.0,1.43837221,1.43837221,3.595999788,1.43837221,0.0,22.29700002,0.005938522,0.009423474,0.044577425000000004,0.040511997,0.002447184,0.029233705,1.068473684,0.0,0.0,0.0,0.315588292,0.0,0.29720914,0.0,0.020208882,0.0,0.19900390899999998,0.005567434,0.002700955,0.0,1.0,1.0
9x9,0.0,0.0,5.443769546,0.0,0.0,11.465917894,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,12.04367592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,5.443769546,10.88775922,0.0,0.0,0.0,0.0,5.443769546,0.0,10.88775922,0.0,12.04367592,0.0,0.0,0.0,6.022148348,5.443769546,0.0,0.0,0.0,0.0,0.0,16.909907568,0.0,16.33005735,0.0,5.443769546,0.0,6.022148348,0.0,10.88775922,5.443769546,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,24.08996179,0.0,0.0,0.0,0.0,0.0,5.443769546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.799330767999997,0.0,0.0,0.0,0.0,0.0,21.77718242,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,12.04367592,0.0,0.0,0.0,0.0,102.3713052,0.0,0.0,0.0,0.0,16.33005735,0.0,11.465917894,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,12.04367592,6.022148348,5.443769546,0.0,5.443769546,0.0,0.0,0.0,0.0,0.0,0.018813248,0.0,0.050413533999999996,0.016966858,0.002447184,0.0,0.607792506,0.0,0.0,0.0,0.129522795,0.0,0.0,0.0,0.0,0.006989866,0.391811526,0.010484218,0.018262005,0.0,1.0,1.0
