coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,ODImmature2,Ependymal,permutationTracker
0x0,0.0,6.362579546,1.649354052,1.649354052,0.0,13.549303425,6.362579546,13.549303425,0.0,0.0,12.72460961,0.0,0.0,0.0,0.0,0.0,1.649354052,0.0,0.824693815,19.08630255,6.362579546,37.699599896,4.948123813,0.0,1.649354052,0.0,0.0,0.0,2.47408148,0.0,0.0,0.0,0.824693815,13.549303425,0.0,0.0,6.362579546,0.824693815,0.824693815,0.0,0.0,0.0,0.824693815,0.0,0.0,0.0,0.0,0.0,0.0,0.824693815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.298728334,12.72460961,0.824693815,0.0,1.649354052,0.824693815,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.824693815,12.72460961,5.772827274,0.0,26.39050251,121.36301099,0.0,0.0,6.362579546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.824693815,0.824693815,1.649354052,0.0,2.47408148,0.0,1.649354052,0.0,20.735656602,0.0,8.011933598,0.824693815,0.0,2.47408148,0.0,0.0,6.362579546,0.0,50.30976198,6.362579546,11.310703359,0.0,0.824693815,12.36903314,1.649354052,2.47408148,0.0,0.824693815,0.0,0.0,4.12342048,2.47408148,6.362579546,0.0,0.0,4.948123813,0.0,0.0,0.0,0.0,0.0,8.011933598,0.0,0.0,0.0,7.187273361,0.025115972,0.127919227,0.031561203,0.07030741,0.00197471,0.144848449,0.0,1.628028072,0.0,0.0,0.028340641,0.0,1.390451848,0.0,0.0722153,0.000979608,0.294676045,0.028037602,0.037508462,0.0,1.0,1.0,"[[0], [0]]"
1x1,0.274911387,0.41237493,4.535865936,2.611539272,1.237072195,27.762995325,1.237072195,1.6494296460000002,0.0,0.41237493,5.223289438,0.137454413,0.0,0.137454413,0.137454413,0.41237493,4.673372842,1.237072195,8.24717404,0.824735831,29.82478102,35.04831211,5.360498743,0.274911387,2.199169552,0.687252188,0.41237493,0.687252188,5.085684438,0.137454413,0.5498155,0.137454413,2.336695926,1.237068745,0.0,0.137454413,6.185384288,2.0617660100000004,1.237068745,0.5498155,0.274911387,0.137454413,0.962148228,0.41237493,0.274911387,1.649476062,0.687252188,0.137454413,0.0,2.474169877,0.0,0.274911387,0.0,2.33672181,2.061822428,0.137454413,0.41237493,5.223082712,0.824735831,2.336695926,0.0,9.346765185,5.6355483,2.886511884,0.0,0.0,1.237068745,1.237068745,0.0,1.099605202,6.047904326,9.071753576999999,0.41237493,27.077754698,70.37736419,0.0,0.5498155,3.848752315,0.274911387,0.0,0.0,1.099616611,3.71129176,0.0,0.5498155,0.41237493,0.96218522,0.5498155,0.0,1.237068745,0.962148228,2.611539272,0.0,4.535903908,0.5498155,1.649354052,0.5498155,5.223183855,0.5498155,4.673372842,0.962148228,0.137454413,3.161333668,0.137454413,3.298926303,0.0,0.0,50.30976198,0.0,7.422285286999999,0.41237493,1.099605202,13.468649751000001,2.199169552,2.88645641,0.137454413,0.962148228,0.5498155,1.099616611,9.896559661000001,6.322833795,3.436392884,0.0,0.41237493,4.948123813,1.099616611,0.824735831,0.0,0.274911387,2.199263417,5.223183855,2.474161474,0.137454413,0.274911387,8.384619613,0.025115972,0.143215226,0.054939023000000003,0.08585178900000001,0.00197471,0.138245652,0.0,1.373558828,0.0,0.0,0.018011772,0.0,1.528715671,0.0,0.084820791,0.000979608,0.286737624,0.028037602,0.037648959,0.0,1.0,1.0,"[[0], [1]]"
2x2,0.38640463,0.38640463,2.422155101,4.740641561,0.38640463,36.756453415,0.38640463,10.097757963,0.0,0.772801049,5.409733898,0.0,0.0,0.38640463,1.545599049,0.38640463,5.127002572,1.932040737,3.9159813239999997,1.159235441,34.39158396,32.882619399,6.1073592539999995,0.38640463,2.035758682,1.545599049,0.772801049,1.932040737,6.724573467000001,0.38640463,0.38640463,0.0,3.5295384480000003,2.370292864,0.0,0.0,5.796103746,1.5974948640000002,0.824693815,0.38640463,0.38640463,0.0,1.5974948640000002,0.0,0.0,0.38640463,0.38640463,0.772801049,0.38640463,1.9839292560000001,0.38640463,0.772801049,0.0,1.545599049,0.38640463,1.159235441,0.38640463,6.7763768540000004,0.772801049,1.2110984450000002,1.159235441,6.672591718,5.075185802,2.318409668,0.0,1.159235441,0.824693815,1.2110984450000002,0.0,1.2110984450000002,4.636895712,8.477671907,0.38640463,26.776907140000002,40.6319053,0.0,0.0,2.704844633,0.0,0.38640463,0.38640463,0.772801049,3.091287509,0.38640463,0.772801049,0.0,2.704844633,0.38640463,0.0,1.9839292560000001,0.824693815,3.1949531010000003,0.0,5.9517299999999995,0.772801049,1.649354052,1.545599049,3.1949531010000003,1.159235441,3.1949531010000003,1.5974948640000002,0.0,4.792491148,0.38640463,4.636895712,0.772801049,0.0,51.082563029,0.38640463,8.425772333,0.38640463,1.2110984450000002,13.141834189,1.649354052,2.86048611,0.38640463,0.824693815,0.0,0.772801049,7.987492537,9.04293325,2.704844633,0.0,1.159235441,4.948123813,7.341804357,0.38640463,0.772801049,0.0,1.932040737,3.581394789,0.38640463,0.0,0.0,4.688765872,0.025115972,0.034317803,0.031561203,0.09767796200000001,0.00197471,0.043316318,0.0,0.581248039,0.0,0.0,0.067692028,0.0,0.545859432,0.0,0.070020258,0.041469821999999996,0.41617459500000004,0.213014818,0.016025665,0.016971307,1.0,1.0,"[[0], [2]]"
3x3,0.0,0.0,2.5007103170000002,3.352067484,0.851356265,39.985276005,0.851356265,0.824693815,2.55410292,0.0,4.256782398,0.851356265,0.0,0.0,0.851356265,0.0,4.203456972,3.405447195,11.891712915,0.851356265,39.16058219,34.742467545,5.799480077999999,0.0,1.649354052,0.0,0.851356265,0.0,6.730863878000001,0.0,1.702713432,0.0,1.67605008,1.67605008,0.0,0.0,4.256782398,4.23014101,0.824693815,0.851356265,0.0,1.702713432,0.824693815,0.0,0.0,2.55410292,0.0,0.0,0.0,3.378796735,0.851356265,0.0,0.0,4.256782398,0.851356265,0.0,0.0,5.852831254,2.55410292,1.67605008,0.851356265,9.311589817,2.527407247,1.702713432,0.0,2.55410292,1.67605008,2.527407247,0.851356265,0.824693815,5.108154309,6.624183539,0.0,26.39050251,77.89908219,0.0,1.702713432,4.256782398,0.851356265,0.851356265,0.0,4.256782398,1.702713432,0.0,0.851356265,1.702713432,1.702713432,0.0,0.0,0.824693815,1.67605008,1.649354052,1.702713432,3.3254377450000003,0.0,1.649354052,0.851356265,5.90613645,0.0,3.352067484,0.824693815,0.851356265,4.176794912,0.0,2.55410292,0.0,0.0,50.30976198,0.0,7.502226733,0.0,0.824693815,12.36903314,1.649354052,2.47408148,0.0,0.824693815,1.702713432,0.0,10.934301096999999,11.839814048000001,1.702713432,0.0,0.851356265,4.948123813,3.405447195,0.851356265,0.0,0.0,1.702713432,6.757508360999999,2.55410292,0.851356265,2.55410292,7.635574431999999,0.025115972,0.093853095,0.031561203,0.09955729499999999,0.00197471,0.108339982,0.0,1.022320573,0.0,0.0,0.047362451,0.0,1.135157912,0.0,0.077556373,0.002584645,0.286737624,0.028037602,0.013649684,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.0,0.0,2.577100892,3.50483982,1.855485768,38.863812065000005,2.783293202,1.752440655,0.0,0.92774684,9.277796159,0.0,0.92774684,0.0,0.0,0.0,5.360428854,1.855485768,8.24678618,0.0,41.74644475,31.33702035,4.948123813,0.92774684,1.649354052,0.0,0.92774684,0.0,2.47408148,0.0,0.0,0.92774684,0.824693815,0.824693815,0.0,0.0,3.711074802,1.752440655,1.752440655,0.0,0.0,2.783293202,0.824693815,0.0,0.0,0.0,1.855485768,0.92774684,0.0,0.824693815,0.0,1.855485768,0.0,0.92774684,0.0,0.0,0.0,4.226475174,0.92774684,0.824693815,0.0,9.999104082999999,3.607987017,0.0,0.0,0.92774684,0.824693815,1.752440655,0.92774684,0.824693815,7.422092365,11.339418771,0.0,26.39050251,69.79086122,0.0,0.0,3.711074802,0.0,0.0,0.92774684,0.92774684,3.711074802,0.92774684,0.92774684,0.0,5.566591497,0.92774684,0.0,2.680179583,0.824693815,1.649354052,0.0,3.40182832,0.92774684,1.649354052,0.0,8.143635517,0.0,4.432647254,0.824693815,0.0,4.329567248,0.0,1.855485768,0.0,0.0,50.30976198,0.0,5.875870653,0.0,0.824693815,13.29677998,2.577100892,2.47408148,0.0,0.824693815,0.0,0.92774684,14.328114470000001,8.040672977,0.92774684,0.0,0.0,4.948123813,0.92774684,0.0,0.0,0.0,2.783293202,2.577100892,4.638842963,0.0,0.0,8.24678618,0.025115972,0.125387275,0.065752789,0.102914738,0.00197471,0.129892172,0.0,1.185848208,0.0,0.0,0.019527161,0.0,1.140079959,0.0,0.051228194,0.000979608,0.286737624,0.051059194,0.058115064,0.0,1.0,1.0,"[[0], [4]]"
5x5,0.0,6.362579546,11.27156635,0.0,0.0,35.26968037,6.362579546,12.72460961,0.0,0.0,18.360664964,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,19.08630255,6.362579546,6.362579546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27156635,35.26968037,0.0,0.0,11.998634899999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.72460961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636055354,0.0,0.0,12.72460961,0.0,0.0,11.27156635,125.07934994,0.0,0.0,6.362579546,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,19.08630255,0.0,6.362579546,0.0,0.0,0.0,0.0,0.0,6.362579546,0.0,0.0,6.362579546,6.362579546,5.636055354,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636055354,17.634145896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27156635,6.362579546,0.0,0.0,0.0,6.362579546,0.0,0.127919227,0.002849356,0.046271489,0.0,0.18675315599999998,0.0,1.628028072,0.0,0.0,0.028340641,0.0,1.846011472,0.0,0.0722153,0.022361296,0.015826016,0.490390247,0.034115386,0.0,1.0,1.0,"[[1], [0]]"
6x6,0.274911387,0.41237493,14.158078234000001,0.96218522,1.237072195,49.483372270000004,1.237072195,0.824735831,0.0,0.41237493,10.859344792,0.137454413,5.636055354,0.137454413,0.137454413,0.41237493,3.02401879,1.237072195,7.422480225,0.824735831,29.82478102,3.71129176,0.41237493,0.274911387,0.5498155,0.687252188,0.41237493,0.687252188,2.611602958,0.137454413,0.5498155,0.137454413,12.783568461,22.95744569,0.0,0.137454413,11.821439642,1.237072195,0.41237493,0.5498155,0.274911387,0.137454413,0.137454413,0.41237493,0.274911387,1.649476062,0.687252188,0.137454413,0.0,7.2855314159999995,0.0,0.274911387,0.0,2.33672181,2.061822428,0.137454413,0.41237493,1.924354378,0.824735831,1.512002111,0.0,7.697411133,4.810854485,2.886511884,0.0,0.0,0.41237493,6.048430284,0.0,0.274911387,6.047904326,3.298926303,0.41237493,11.958818538000001,74.09370314,0.0,0.5498155,3.848752315,0.274911387,0.0,5.636055354,1.099616611,3.71129176,0.0,0.5498155,0.41237493,0.96218522,0.5498155,0.0,0.41237493,0.137454413,6.598240574,0.0,2.061822428,0.5498155,0.0,0.5498155,3.573829803,0.5498155,3.02401879,0.137454413,0.137454413,0.687252188,0.137454413,3.298926303,0.0,0.0,0.0,0.0,2.474161474,6.048430284,5.910966741,1.099616611,0.5498155,0.41237493,0.137454413,0.137454413,0.5498155,1.099616611,5.773139181,9.484807669,14.707959234,0.0,0.41237493,0.0,1.099616611,0.824735831,0.0,0.274911387,13.470829767000001,3.573829803,2.474161474,0.137454413,0.274911387,7.559925798,0.0,0.143215226,0.026227176,0.061815868,0.0,0.18015035899999998,0.0,1.373558828,0.0,0.0,0.018011772,0.0,1.984275295,0.0,0.084820791,0.022361296,0.007887595,0.490390247,0.034255883,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.38640463,0.38640463,12.044367399,3.091287509,0.38640463,58.47683036,0.38640463,9.273064148,0.0,0.772801049,11.045789251999999,0.0,5.636055354,0.38640463,1.545599049,0.38640463,3.47764852,1.932040737,3.091287509,1.159235441,34.39158396,1.545599049,1.159235441,0.38640463,0.38640463,1.545599049,0.772801049,1.932040737,4.250491987,0.38640463,0.38640463,0.0,13.976410983000001,24.090669809,0.0,0.0,11.4321591,0.772801049,0.0,0.38640463,0.38640463,0.0,0.772801049,0.0,0.0,0.38640463,0.38640463,0.772801049,0.38640463,6.795290795,0.38640463,0.772801049,0.0,1.545599049,0.38640463,1.159235441,0.38640463,3.47764852,0.772801049,0.38640463,1.159235441,5.023237666,4.250491987,2.318409668,0.0,1.159235441,0.0,6.022459984,0.0,0.38640463,4.636895712,2.704844633,0.38640463,11.65797098,44.34824424999999,0.0,0.0,2.704844633,0.0,0.38640463,6.022459984,0.772801049,3.091287509,0.38640463,0.772801049,0.0,2.704844633,0.38640463,0.0,1.159235441,0.0,7.181654403,0.0,3.47764852,0.772801049,0.0,1.545599049,1.545599049,1.159235441,1.545599049,0.772801049,0.0,2.318409668,0.38640463,4.636895712,0.772801049,0.0,0.772801049,0.38640463,3.47764852,6.022459984,6.022459984,0.772801049,0.0,0.38640463,0.38640463,0.0,0.0,0.772801049,3.864072057,12.204907124,13.976410983000001,0.0,1.159235441,0.0,7.341804357,0.38640463,0.772801049,0.0,13.203607087,1.932040737,0.38640463,0.0,0.0,3.864072057,0.0,0.034317803,0.002849356,0.073642041,0.0,0.085221025,0.0,0.581248039,0.0,0.0,0.067692028,0.0,1.001419056,0.0,0.070020258,0.06285151,0.137324566,0.675367463,0.012632589,0.016971307,1.0,1.0,"[[1], [2]]"
8x8,0.0,0.0,12.122922615,1.702713432,0.851356265,61.70565295,0.851356265,0.0,2.55410292,0.0,9.892837752,0.851356265,5.636055354,0.0,0.851356265,0.0,2.55410292,3.405447195,11.0670191,0.851356265,39.16058219,3.405447195,0.851356265,0.0,0.0,0.0,0.851356265,0.0,4.256782398,0.0,1.702713432,0.0,12.122922615,23.396427025,0.0,0.0,9.892837752,3.405447195,0.0,0.851356265,0.0,1.702713432,0.0,0.0,0.0,2.55410292,0.0,0.0,0.0,8.190158274,0.851356265,0.0,0.0,4.256782398,0.851356265,0.0,0.0,2.55410292,2.55410292,0.851356265,0.851356265,7.662235765,1.702713432,1.702713432,0.0,2.55410292,0.851356265,7.338768785999999,0.851356265,0.0,5.108154309,0.851356265,0.0,11.27156635,81.61542114,0.0,1.702713432,4.256782398,0.851356265,0.851356265,5.636055354,4.256782398,1.702713432,0.0,0.851356265,1.702713432,1.702713432,0.0,0.0,0.0,0.851356265,5.636055354,1.702713432,0.851356265,0.0,0.0,0.851356265,4.256782398,0.0,1.702713432,0.0,0.851356265,1.702713432,0.0,2.55410292,0.0,0.0,0.0,0.0,2.55410292,5.636055354,5.636055354,0.0,0.0,0.0,0.0,0.0,1.702713432,0.0,6.810880617,15.001787922,12.974279782,0.0,0.851356265,0.0,3.405447195,0.851356265,0.0,0.0,12.974279782,5.108154309,2.55410292,0.851356265,2.55410292,6.810880617,0.0,0.093853095,0.002849356,0.075521374,0.0,0.150244689,0.0,1.022320573,0.0,0.0,0.047362451,0.0,1.5907175359999999,0.0,0.077556373,0.023966333,0.007887595,0.490390247,0.010256608,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.0,12.19931319,1.855485768,1.855485768,60.58418901,2.783293202,0.92774684,0.0,0.92774684,14.913851513,0.0,6.563802194,0.0,0.0,0.0,3.711074802,1.855485768,7.422092365,0.0,41.74644475,0.0,0.0,0.92774684,0.0,0.0,0.92774684,0.0,0.0,0.0,0.0,0.92774684,11.27156635,22.54507076,0.0,0.0,9.347130156,0.92774684,0.92774684,0.0,0.0,2.783293202,0.0,0.0,0.0,0.0,1.855485768,0.92774684,0.0,5.636055354,0.0,1.855485768,0.0,0.92774684,0.0,0.0,0.0,0.92774684,0.92774684,0.0,0.0,8.349750031,2.783293202,0.0,0.0,0.92774684,0.0,6.563802194,0.92774684,0.0,7.422092365,5.566591497,0.0,11.27156635,73.50720017,0.0,0.0,3.711074802,0.0,0.0,6.563802194,0.92774684,3.711074802,0.92774684,0.92774684,0.0,5.566591497,0.92774684,0.0,1.855485768,0.0,5.636055354,0.0,0.92774684,0.92774684,0.0,0.0,6.494281465,0.0,2.783293202,0.0,0.0,1.855485768,0.0,1.855485768,0.0,0.0,0.0,0.0,0.92774684,5.636055354,5.636055354,0.92774684,0.92774684,0.0,0.0,0.0,0.0,0.92774684,10.20469399,11.202646851,12.19931319,0.0,0.0,0.0,0.92774684,0.0,0.0,0.0,14.054859552,0.92774684,4.638842963,0.0,0.0,7.422092365,0.0,0.125387275,0.037040942,0.078878817,0.0,0.171796879,0.0,1.185848208,0.0,0.0,0.019527161,0.0,1.5956395829999999,0.0,0.051228194,0.022361296,0.007887595,0.513411839,0.054721988,0.0,1.0,1.0,"[[1], [4]]"
