coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Excitatory,ODMature1,Excitatorycells
0x0,0.0,0.0,0.0,9.379963087,1.329056371,1.329056371,12.637515111999999,3.113887129,0.0,1.224686858,7.946424103,0.560163093,0.0,0.0,0.0,0.560163093,19.738676035,0.560163093,0.0,0.0,1.784836882,5.211874794,0.560163093,0.560163093,9.62683258,2.240634118,0.560163093,0.560163093,0.664523765,1.120313117,1.120313117,0.560163093,12.180178535000001,1.680464131,1.784836882,0.0,0.0,0.664523765,0.0,0.560163093,10.63322157,0.560163093,19.252492561,0.560163093,0.0,0.0,0.0,1.889219464,2.240634118,9.967306986,0.0,0.0,0.0,0.664523765,0.0,7.974287945,0.664523765,15.332812621,0.0,1.889219464,5.914649194,13.302078386,3.360938881,5.316260017,0.664523765,0.0,0.0,0.0,0.560163093,0.0,2.4493694880000003,1.993574012,0.560163093,0.0,9.901791668000001,0.0,0.664523765,7.869952161,7.386349566,5.211874794,0.664523765,0.560163093,0.664523765,0.0,0.0,0.0,20.373776641,1.889219464,6.4365731340000005,3.921075182,0.664523765,16.416099791,0.0,13.302078386,2.4493694880000003,0.664523765,1.120313117,1.329056371,1.784836882,0.0,1.329056371,0.560163093,1.224686858,0.560163093,0.560163093,0.0,1.120313117,0.0,3.987122086,21.558750697,0.0,1.329056371,36.336272967,0.0,10.955882827,2.240634118,0.560163093,0.560163093,1.224686858,0.664523765,0.0,3.322649277,0.0,0.664523765,0.664523765,16.102553696,0.0,1.120313117,0.0,0.0,3.921075182,1.329056371,0.560163093,0.0,11.96283521,0.002912167,0.047556814,0.0,0.032228866,0.223201486,0.0,0.672283867,0.01280025,0.013825942,0.0,0.078633737,0.035893242,0.0,0.0,0.050427299,0.197628163,0.337148987,0.0,0.0,0.075526214,1.0,1.0,[0]
1x1,0.0,0.0,1.457310294,6.721825801,0.0,0.0,10.6439411,1.120313117,0.0,0.560163093,8.739210631999999,3.474876741,0.0,0.0,0.0,0.560163093,13.221698384,0.560163093,1.457310294,0.0,5.492362546,0.560163093,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,9.522041249,7.509824028,1.120313117,0.0,0.0,0.0,0.0,0.560163093,10.20211431,3.474876741,20.838149838,0.560163093,0.0,0.0,0.0,0.560163093,2.240634118,14.57399389,0.0,0.0,0.0,1.457310294,0.0,7.286669155,0.0,14.00375625,0.0,0.560163093,3.921075182,12.101251393999998,4.818249175,7.286669155,0.0,0.0,0.0,0.0,0.560163093,0.0,8.406982272,0.0,0.560163093,0.0,8.293124611,0.0,0.0,25.335241793,6.721825801,0.560163093,0.0,0.560163093,0.0,0.0,0.0,0.0,19.04472027,2.017473387,1.120313117,3.921075182,0.0,13.221698384,0.0,13.558654747999999,1.120313117,0.0,1.120313117,4.372049429,1.120313117,0.0,1.457310294,0.560163093,0.560163093,0.560163093,2.017473387,0.0,1.120313117,0.0,0.0,20.614540109,0.0,0.0,46.294579067,0.0,10.419619109,2.240634118,0.560163093,0.560163093,2.017473387,0.0,0.0,2.914713648,0.0,0.0,0.0,14.901726704000001,0.0,2.5776234110000003,0.0,0.0,5.378385476,0.0,0.560163093,0.0,16.02942562,0.002912167,0.036487336,0.025401622,0.032228866,0.0,0.0,1.446639596,0.01280025,0.031706104,0.0,0.112791985,0.0,0.0,0.0,0.050427299,0.060679072,0.40359439,0.001517518,0.015233641,0.0,1.0,1.0,[1]
2x2,0.0,0.0,0.0,8.705215596999999,0.0,2.975117771,10.6439411,2.111995124,0.0,0.560163093,7.281900338,2.543552889,0.0,0.0,1.983389796,3.5352808639999997,13.747777886000002,1.5518451,0.0,0.0,3.1037029130000002,0.560163093,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,14.480583182,1.680464131,1.120313117,0.0,0.0,0.991682007,0.0,0.560163093,16.86076268,0.560163093,17.92343619,0.560163093,0.0,0.0,0.0,2.543552889,2.240634118,1.983389796,0.0,0.0,0.0,3.966838056,0.0,13.88332619,0.0,19.953999426,0.0,0.560163093,3.921075182,10.6439411,4.352620888,7.933671932,0.0,0.0,0.0,0.0,0.560163093,0.0,5.087151173,0.0,0.560163093,0.0,7.887913237999999,0.0,0.0,23.366906993,6.721825801,2.543552889,0.0,0.560163093,0.0,0.0,0.0,0.0,19.04472027,0.560163093,1.120313117,4.912757189,0.0,13.747777886000002,0.0,14.610779156,2.111995124,0.0,1.120313117,3.966838056,3.1037029130000002,0.0,0.0,0.560163093,2.543552889,0.560163093,1.5518451,0.0,1.120313117,0.0,0.0,19.217608451,0.0,0.0,15.994811097,0.0,12.929146871,2.240634118,0.560163093,0.560163093,0.560163093,0.0,0.0,0.0,0.991682007,0.0,0.0,21.378088342,0.0,1.120313117,0.0,0.991682007,4.912757189,0.0,0.560163093,0.0,15.86553025,0.002912167,0.036487336,0.042372631,0.035913557,0.0,0.0,0.296492474,0.01280025,0.0,0.0,0.173625873,0.010784794,0.0,0.010793173,0.050427299,0.006690337,0.371974274,0.031361701,0.024389221,0.0,1.0,1.0,[2]
3x3,0.719174655,0.0,0.0,8.879374083,0.0,0.719174655,10.6439411,2.558685327,2.157548282,1.9985353030000002,7.281900338,0.560163093,0.0,0.0,0.0,0.560163093,17.517905130000003,0.560163093,0.0,1.43837221,1.839487772,1.279337748,0.560163093,0.560163093,14.715825855,9.432446556,1.279337748,1.279337748,0.0,1.120313117,1.120313117,1.9985353030000002,10.960413459000002,1.680464131,1.120313117,0.0,0.0,0.719174655,0.0,0.560163093,16.54284394,0.560163093,21.519435978,1.9985353030000002,0.0,0.0,0.0,4.156162881,2.240634118,13.66560555,0.0,0.719174655,0.0,4.315082378,0.719174655,9.349038438,1.43837221,24.790667130000003,0.0,0.560163093,5.359447392,12.801489382,4.080113536,1.43837221,0.0,0.719174655,0.0,0.719174655,0.560163093,0.0,12.628662397,3.595999788,1.279337748,0.0,4.640249837,0.0,0.0,15.662911223,6.721825801,0.560163093,0.0,1.9985353030000002,0.719174655,0.0,0.0,0.0,20.48309248,0.560163093,2.558685327,3.921075182,0.719174655,14.641157768000001,2.157548282,12.08231331,1.120313117,0.0,1.120313117,0.0,1.120313117,0.719174655,0.0,0.560163093,0.560163093,1.9985353030000002,0.560163093,0.719174655,1.120313117,0.719174655,0.0,19.838490468,0.0,0.0,48.582164337,0.0,15.435051016,3.679006328,0.560163093,0.560163093,0.560163093,2.157548282,1.43837221,9.349038438,0.0,0.0,0.0,16.321186088,0.0,1.120313117,0.0,1.43837221,5.359447392,3.595999788,1.9985353030000002,0.0,22.29700002,0.006463287,0.04591081,0.024898836,0.055774005,0.0,0.029233705,1.068473684,0.01280025,0.0,0.0,0.394222029,0.0,0.29720914,0.0,0.070636181,0.0,0.340429136,0.0,0.002309854,0.0,1.0,1.0,[3]
4x4,0.0,0.0,5.443769546,6.721825801,0.0,5.443769546,10.6439411,1.120313117,0.0,0.560163093,7.281900338,0.560163093,0.0,0.0,0.0,0.560163093,11.76438809,0.560163093,0.0,0.0,1.120313117,0.560163093,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,14.965810795000001,12.568223351,1.120313117,0.0,0.0,0.0,5.443769546,0.560163093,10.88775922,0.560163093,17.92343619,0.560163093,0.0,0.0,0.0,6.003932639,2.240634118,0.0,0.0,0.0,0.0,10.88775922,0.0,16.33005735,0.0,19.447525796,0.0,0.560163093,3.921075182,21.53170032,8.804708427000001,0.0,0.0,0.0,0.0,0.0,0.560163093,0.0,1.120313117,0.0,0.560163093,0.0,3.921075182,0.0,0.0,6.003932639,6.721825801,0.560163093,0.0,0.560163093,0.0,0.0,0.0,0.0,19.04472027,0.560163093,22.897495536999998,3.921075182,0.0,11.76438809,0.0,10.6439411,22.897495536999998,0.0,1.120313117,0.0,1.120313117,0.0,0.0,0.560163093,0.560163093,0.560163093,0.560163093,0.0,1.120313117,0.0,0.0,16.24249068,0.0,0.0,17.450370467,0.0,14.406078361,2.240634118,0.560163093,0.560163093,0.560163093,0.0,0.0,0.0,0.0,0.0,0.0,13.44441641,0.0,6.564082663000001,0.0,5.443769546,3.921075182,0.0,0.560163093,0.0,0.0,0.019338013,0.036487336,0.030734945,0.032228866,0.0,0.0,0.607792506,0.01280025,0.0,0.0,0.208156532,0.0,0.0,0.0,0.050427299,0.006989866,0.533236753,0.004916784,0.017870904,0.0,1.0,1.0,[4]
5x5,0.0,0.516421733,2.582036443,12.469986992,1.329056371,1.8454781040000001,5.608449627,18.520267832,0.0,0.664523765,2.2137595130000003,0.0,0.0,1.032825032,0.516421733,15.49301295,13.654803815000001,0.516421733,0.516421733,0.0,1.697348797,4.651711701,0.516421733,0.0,0.664523765,0.0,0.516421733,2.582036443,1.180945498,0.0,0.0,0.0,8.338653156,2.582036443,1.180945498,0.0,0.0,2.2137595130000003,0.0,0.0,11.149643303,0.516421733,1.329056371,0.0,0.0,0.0,0.0,8.558869993,4.131330645,14.098637631,2.065631854,0.516421733,0.516421733,0.664523765,0.0,9.007112977,1.697348797,10.623431738,0.0,1.329056371,3.026399044,8.855112384,1.032825032,25.973344967000003,0.664523765,1.549235748,0.0,0.516421733,1.549235748,0.0,1.8454781040000001,2.5099957450000003,0.0,0.0,12.694012524000001,0.0,0.664523765,8.3426141,0.664523765,5.684536733,0.664523765,0.0,2.2137595130000003,0.0,0.516421733,0.516421733,2.361881403,10.623431738,6.349085049,0.0,1.697348797,10.332227571,0.516421733,25.896316935999998,3.394688225,1.180945498,2.582036443,1.329056371,2.2137595130000003,0.0,12.691376911,0.0,2.2137595130000003,0.0,0.0,0.0,0.0,0.0,3.987122086,10.480364621,0.0,1.8454781040000001,35.21595985,0.0,12.322793742,0.0,0.0,0.516421733,1.180945498,1.697348797,0.0,3.83907101,0.516421733,1.697348797,0.664523765,9.371433324,0.0,0.0,0.516421733,2.065631854,3.614875615,1.329056371,0.0,0.0,11.96283521,0.0,0.011069478,0.0,0.008200712,0.239553612,0.0,0.789350295,0.0,0.013825942,0.0,0.063623686,0.035893242,0.0,0.0,0.011299983,0.197628163,0.38993801,0.0,0.0,0.075526214,1.0,1.0,[0]
6x6,0.0,0.516421733,4.039346737,9.811849706,0.0,0.516421733,3.614875615,16.52669382,0.0,0.0,3.006546042,2.914713648,0.0,1.032825032,0.516421733,15.49301295,7.137826164,0.516421733,1.973732027,0.0,5.4048744609999995,0.0,0.516421733,0.0,0.0,0.0,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,5.68051587,8.41139634,0.516421733,0.0,0.0,1.549235748,0.0,0.0,10.718536043,3.4311353810000003,2.914713648,0.0,0.0,0.0,0.0,7.229813622,4.131330645,18.705324535000003,2.065631854,0.516421733,0.516421733,1.457310294,0.0,8.319494187,1.032825032,9.294375367,0.0,0.0,1.032825032,7.654285392,2.490135326,27.943754105000004,0.0,1.549235748,0.0,0.516421733,1.549235748,0.0,7.803090888,0.516421733,0.0,0.0,11.085345467,0.0,0.0,25.807903732000003,0.0,1.032825032,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,1.032825032,10.751685661,1.032825032,0.0,1.032825032,7.137826164,0.516421733,26.152893298,2.065631854,0.516421733,2.582036443,4.372049429,1.549235748,0.0,12.819630834000002,0.0,1.549235748,0.0,1.457310294,0.0,0.0,0.0,0.0,9.536154032999999,0.0,0.516421733,45.17426595,0.0,11.786530024000001,0.0,0.0,0.516421733,1.973732027,1.032825032,0.0,3.4311353810000003,0.516421733,1.032825032,0.0,8.170606332,0.0,1.457310294,0.516421733,2.065631854,5.072185909,0.0,0.0,0.0,16.02942562,0.0,0.0,0.025401622,0.008200712,0.016352126,0.0,1.563706024,0.0,0.031706104,0.0,0.097781934,0.0,0.0,0.0,0.011299983,0.060679072,0.456383413,0.001517518,0.015233641,0.0,1.0,1.0,[1]
7x7,0.0,0.516421733,2.582036443,11.795239502000001,0.0,3.491539504,3.614875615,17.518375827,0.0,0.0,1.549235748,1.983389796,0.0,1.032825032,2.499811529,18.468130721,7.663905666,1.5081037400000001,0.516421733,0.0,3.016214828,0.0,0.516421733,0.0,0.0,0.0,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,10.639057803,2.582036443,0.516421733,0.0,0.0,2.540917755,0.0,0.0,17.377184413000002,0.516421733,0.0,0.0,0.0,0.0,0.0,9.213203417999999,4.131330645,6.114720441,2.065631854,0.516421733,0.516421733,3.966838056,0.0,14.916151222,1.032825032,15.244618543000001,0.0,0.0,1.032825032,6.196975098,2.024507039,28.590756882,0.0,1.549235748,0.0,0.516421733,1.549235748,0.0,4.483259789,0.516421733,0.0,0.0,10.680134094,0.0,0.0,23.839568932000002,0.0,3.016214828,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,1.032825032,9.294375367,1.032825032,0.991682007,1.032825032,7.663905666,0.516421733,27.205017706,3.057313861,0.516421733,2.582036443,3.966838056,3.532625544,0.0,11.36232054,0.0,3.532625544,0.0,0.991682007,0.0,0.0,0.0,0.0,8.139222375,0.0,0.516421733,14.87449798,0.0,14.296057786,0.0,0.0,0.516421733,0.516421733,1.032825032,0.0,0.516421733,1.5081037400000001,1.032825032,0.0,14.64696797,0.0,0.0,0.516421733,3.057313861,4.6065576219999995,0.0,0.0,0.0,15.86553025,0.0,0.0,0.042372631,0.011885403000000001,0.016352126,0.0,0.413558902,0.0,0.0,0.0,0.15861582200000002,0.010784794,0.0,0.010793173,0.011299983,0.006690337,0.424763297,0.031361701,0.024389221,0.0,1.0,1.0,[2]
8x8,0.719174655,0.516421733,2.582036443,11.969397988,0.0,1.235596388,3.614875615,17.96506603,2.157548282,1.43837221,1.549235748,0.0,0.0,1.032825032,0.516421733,15.49301295,11.434032909999999,0.516421733,0.516421733,1.43837221,1.751999687,0.719174655,0.516421733,0.0,5.75351704,7.191812438,1.235596388,3.3012110979999996,0.516421733,0.0,0.0,1.43837221,7.11888808,2.582036443,0.516421733,0.0,0.0,2.268410403,0.0,0.0,17.059265673000002,0.516421733,3.595999788,1.43837221,0.0,0.0,0.0,10.82581341,4.131330645,17.796936195,2.065631854,1.235596388,0.516421733,4.315082378,0.719174655,10.381863469999999,2.471197242,20.081286247,0.0,0.0,2.471197242,8.35452338,1.751999687,22.095457160000002,0.0,2.268410403,0.0,1.235596388,1.549235748,0.0,12.024771012999999,4.112421521,0.719174655,0.0,7.432470693,0.0,0.0,16.135573162,0.0,1.032825032,0.0,1.43837221,2.268410403,0.0,0.516421733,0.516421733,2.471197242,9.294375367,2.471197242,0.0,1.751999687,8.557285548,2.673970015,24.67655186,2.065631854,0.516421733,2.582036443,0.0,1.549235748,0.719174655,11.36232054,0.0,1.549235748,1.43837221,0.0,0.719174655,0.0,0.719174655,0.0,8.760104392,0.0,0.516421733,47.46185122,0.0,16.801961931,1.43837221,0.0,0.516421733,0.516421733,3.1903733140000003,1.43837221,9.865460170999999,0.516421733,1.032825032,0.0,9.590065716,0.0,0.0,0.516421733,3.504004064,5.053247825,3.595999788,1.43837221,0.0,22.29700002,0.00355112,0.009423474,0.024898836,0.031745851,0.016352126,0.029233705,1.185540112,0.0,0.0,0.0,0.379211978,0.0,0.29720914,0.0,0.031508865,0.0,0.393218159,0.0,0.002309854,0.0,1.0,1.0,[3]
9x9,0.0,0.516421733,8.025805989,9.811849706,0.0,5.960191279,3.614875615,16.52669382,0.0,0.0,1.549235748,0.0,0.0,1.032825032,0.516421733,15.49301295,5.68051587,0.516421733,0.516421733,0.0,1.032825032,0.0,0.516421733,0.0,0.0,0.0,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,11.124285416,13.469795663,0.516421733,0.0,0.0,1.549235748,5.443769546,0.0,11.404180953,0.516421733,0.0,0.0,0.0,0.0,0.0,12.673583168,4.131330645,4.131330645,2.065631854,0.516421733,0.516421733,10.88775922,0.0,17.362882382000002,1.032825032,14.738144913000001,0.0,0.0,1.032825032,17.084734318,6.476594578,20.65708495,0.0,1.549235748,0.0,0.516421733,1.549235748,0.0,0.516421733,0.516421733,0.0,0.0,6.713296038,0.0,0.0,6.476594578,0.0,1.032825032,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,1.032825032,9.294375367,22.810007452,0.0,1.032825032,5.68051587,0.516421733,23.23817965,23.842814274,0.516421733,2.582036443,0.0,1.549235748,0.0,11.36232054,0.0,1.549235748,0.0,0.0,0.0,0.0,0.0,0.0,5.164104604,0.0,0.516421733,16.33005735,0.0,15.772989276,0.0,0.0,0.516421733,0.516421733,1.032825032,0.0,0.516421733,0.516421733,1.032825032,0.0,6.713296038,0.0,5.443769546,0.516421733,7.5094014,3.614875615,0.0,0.0,0.0,0.0,0.016425846,0.0,0.030734945,0.008200712,0.016352126,0.0,0.724858934,0.0,0.0,0.0,0.19314648099999998,0.0,0.0,0.0,0.011299983,0.006989866,0.586025776,0.004916784,0.017870904,0.0,1.0,1.0,[4]
