coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Inhibitory,Endothelial2
0x0,0.690985953,1.381990362,19.211227272000002,7.144863512000001,0.34548853,13.018329285,2.072981884,8.443938499,0.0,0.0,4.491487508,2.017657872,8.292017092,1.008861521,0.0,0.0,9.508020256,0.690985953,0.0,1.381990362,1.008861521,2.7363316319999997,0.0,0.34548853,1.354350051,3.7451279829999997,1.008861521,8.153725938000001,2.363146402,0.34548853,1.0364793,0.0,9.853527767,8.264297238000001,0.0,0.0,0.34548853,6.053099328,1.008861521,0.0,0.690985953,0.0,3.399648234,1.354350051,0.0,5.182441277,4.035353906,7.061948137,1.727470111,25.18107086,0.0,0.0,1.008861521,8.416171747,1.008861521,0.0,2.7086438250000002,12.479612072,0.0,0.0,2.017657872,14.802442972000001,1.381990362,1.354350051,2.017657872,0.34548853,2.045340821,0.34548853,0.0,1.381990362,2.045340821,5.154864106,0.0,0.0,27.819794878000003,6.909881914,0.0,6.218882949,2.390851883,8.070683217,0.34548853,2.764003339,0.0,1.0364793,0.34548853,0.0,0.690985953,1.008861521,1.0364793,0.690985953,0.0,9.769581097,1.0364793,5.4725788,3.717507245,13.474381,1.008861521,3.427317566,2.418456045,1.381990362,0.0,1.008861521,0.690985953,40.77341687,3.109509606,0.34548853,0.0,2.7086438250000002,1.0364793,3.054137172,0.34548853,1.354350051,1.381990362,0.34548853,16.13957308,0.0,0.34548853,0.690985953,14.50957867,5.099503176,9.53570384,2.764003339,0.34548853,0.34548853,0.690985953,3.717507245,1.0364793,0.690985953,1.0364793,2.072981884,0.690985953,0.34548853,1.008861521,0.0,3.109509606,0.0,0.023275556,0.015653274000000002,0.023483937,0.0,0.0,0.0,0.0,0.014445687,0.0,0.097541625,0.0,0.331925703,0.0,0.0,0.016809277,0.311876737,0.0,0.006601794,0.018258397,1.0,1.0
1x1,0.0,2.599813489,6.344121875000001,4.035353906,0.0,5.3352594490000005,1.299905543,8.36185368,0.0,0.0,7.799540612,2.017657872,10.39987266,2.308767064,0.0,0.0,7.3530048709999996,1.299905543,0.0,5.199690368,2.308767064,2.308767064,0.0,0.0,1.008861521,2.017657872,2.308767064,5.044216332,7.21734824,0.0,0.0,0.0,6.053099328,1.008861521,0.0,0.0,0.0,6.053099328,1.008861521,0.0,0.0,0.0,4.617471361,1.008861521,0.0,0.0,4.035353906,7.061948137,0.0,15.425066323,0.0,0.0,1.008861521,13.270373584999998,1.008861521,0.0,3.317563415,11.09762171,1.299905543,0.0,2.017657872,5.9174764500000006,1.299905543,1.008861521,2.017657872,0.0,1.008861521,2.599813489,0.0,0.0,7.508494324,3.6086750100000002,0.0,0.0,11.252789696,0.0,0.0,0.0,2.308767064,9.370588759999999,0.0,0.0,0.0,0.0,0.0,0.0,2.599813489,1.008861521,0.0,0.0,0.0,9.078595144,0.0,2.017657872,3.026521292,74.09309425,1.008861521,2.308767064,2.599813489,0.0,0.0,1.008861521,0.0,22.0993628,2.599813489,0.0,0.0,2.017657872,0.0,2.017657872,0.0,3.6086750100000002,15.59969085,0.0,16.13957308,0.0,0.0,0.0,0.0,4.3264268349999995,5.044216332,1.299905543,0.0,0.0,0.0,3.026521292,0.0,0.0,0.0,5.199690368,1.299905543,0.0,1.008861521,0.0,0.0,0.0,0.06731522399999999,0.007925904000000001,0.002733675,0.0,0.032209852,0.0,0.119185307,0.014445687,0.0,0.097541625,0.0,0.717789722,0.0,0.0,0.016809277,0.293093712,0.0,0.006601794,0.018258397,1.0,1.0
2x2,0.0,3.883261708,7.633105114000001,6.624242688000001,0.0,4.035353906,3.883261708,9.650836919,1.294457406,0.0,2.588888782,2.017657872,15.53484012,1.008861521,0.0,0.0,7.347556734,0.0,1.294457406,10.35533628,1.008861521,1.008861521,0.0,0.0,1.008861521,2.017657872,1.008861521,6.338673738000001,2.017657872,0.0,0.0,0.0,6.053099328,1.008861521,0.0,0.0,0.0,8.64198811,1.008861521,0.0,0.0,0.0,13.667933842,1.008861521,0.0,1.294457406,4.035353906,9.650836919,1.294457406,23.185207554999998,0.0,1.294457406,2.3033189270000003,9.365140622999998,1.008861521,0.0,2.017657872,18.864197666,0.0,0.0,2.017657872,17.552497992,0.0,3.597750303,2.017657872,0.0,4.892123229,0.0,0.0,2.588888782,3.597750303,3.597750303,0.0,0.0,12.525325349,29.77513736,0.0,1.294457406,1.008861521,8.070683217,0.0,2.588888782,1.294457406,0.0,0.0,0.0,1.294457406,3.597750303,0.0,0.0,0.0,9.078595144,0.0,4.606546654000001,4.320978698,38.82905479,4.892123229,3.597750303,0.0,1.294457406,3.883261708,1.008861521,0.0,62.13933449,0.0,0.0,0.0,3.3121152780000003,0.0,2.017657872,0.0,1.008861521,0.0,0.0,16.13957308,0.0,0.0,0.0,0.0,3.026521292,5.044216332,6.472226021,0.0,0.0,0.0,6.909783,1.294457406,0.0,1.294457406,2.588888782,0.0,0.0,1.008861521,0.0,5.177745315,0.0,0.048896781,0.002384171,0.035269193,0.0,0.019981277,0.0,0.13991377,0.014445687,0.0,0.097541625,0.0,1.015672636,0.0,0.0,0.016809277,0.293093712,0.0,0.006601794,0.018258397,1.0,1.0
3x3,0.0,0.0,5.8854970280000005,6.559224893,0.0,6.559224893,2.523870987,7.903228833,0.0,0.0,3.365158322,2.017657872,21.03433764,1.008861521,0.0,0.841280696,7.735662759,0.841280696,0.0,0.841280696,1.008861521,1.008861521,0.0,0.0,1.008861521,2.017657872,1.8501422170000001,5.044216332,2.017657872,0.0,0.0,0.0,8.576970315,3.532732508,0.0,0.0,0.0,6.894380024,1.008861521,0.0,0.0,0.0,5.382816194,1.008861521,0.0,0.0,4.876634602,7.061948137,0.0,14.966441476,0.841280696,0.0,1.8501422170000001,8.070683217,1.008861521,0.0,2.017657872,13.621492697,0.0,0.0,2.017657872,8.747844872,0.841280696,1.008861521,2.017657872,0.841280696,1.008861521,0.0,0.0,0.0,3.532732508,4.374019843,0.0,0.841280696,16.990231428,0.841280696,0.0,2.523870987,1.008861521,8.070683217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8501422170000001,0.0,0.0,0.0,9.91987584,0.0,2.858938568,3.026521292,37.8597498,1.008861521,9.421686857,0.841280696,0.0,0.0,1.008861521,0.0,15.14358557,3.365158322,0.0,0.0,2.858938568,0.841280696,4.541528859,0.841280696,1.8501422170000001,2.523870987,0.0,16.980853776,0.0,0.0,0.0,1.682563431,3.026521292,5.8854970280000005,0.0,0.0,0.0,0.0,3.026521292,0.0,0.841280696,1.682563431,0.0,0.0,0.841280696,1.008861521,0.0,0.841280696,0.0,0.056812487999999994,0.039637887999999996,0.054797287,0.0,0.051233035,0.0,0.157436037,0.014445687,0.0,0.097541625,0.0,1.105086761,0.0,0.0,0.016809277,0.293093712,0.0,0.015764982,0.018258397,1.0,1.0
4x4,0.628845904,1.886556084,9.446159366,7.17964259,0.0,9.694982357,0.628845904,8.31966772,0.0,0.0,2.515442509,2.017657872,18.86552285,1.6377074249999999,0.0,0.0,7.310818911,0.628845904,0.628845904,1.886556084,1.008861521,5.410804555,0.628845904,0.0,1.008861521,2.646503776,1.008861521,5.044216332,5.161946556,0.0,0.0,0.0,7.9396554120000005,7.297392432,0.0,0.628845904,1.886556084,6.053099328,1.008861521,1.257719583,0.628845904,0.628845904,2.646503776,1.008861521,0.0,22.63741608,4.66419981,7.690794041,0.628845904,21.042513622,0.0,0.0,1.008861521,9.957239301,1.008861521,0.628845904,2.017657872,15.499564744,0.0,0.0,3.275377455,12.078800692000002,2.515442509,4.7819556599999995,2.017657872,0.0,3.52430403,0.0,0.0,6.288530911,6.039731979,1.008861521,0.0,0.0,24.918622178,28.9295371,1.257719583,8.803925446,1.6377074249999999,8.699529121,0.0,5.659628451,1.257719583,0.0,0.0,0.0,0.0,1.6377074249999999,0.0,0.628845904,0.628845904,11.594037652999999,0.0,3.275377455,4.284240875,12.57688064,2.895417605,6.039731979,0.0,1.886556084,1.257719583,1.008861521,0.0,84.90135215,8.803925446,0.0,0.628845904,2.017657872,0.628845904,3.275377455,0.628845904,1.6377074249999999,1.886556084,0.628845904,16.13957308,0.0,0.0,0.628845904,3.773094139,5.541963801,6.3019359150000005,1.257719583,0.0,0.0,0.0,3.026521292,0.628845904,0.0,0.628845904,3.773094139,0.0,1.257719583,1.008861521,0.0,2.515442509,0.0,0.043090331999999995,0.002384171,0.051292983,0.0,0.0,0.0,0.032514121,0.014445687,0.0,0.097541625,0.0,0.768682994,0.0,0.028612979,0.02582771,0.293093712,0.0,0.006601794,0.018258397,1.0,1.0
5x5,0.690985953,1.381990362,14.16701094,18.249378406,0.976360994,9.613847843,2.072981884,4.536406532,1.261778128,0.0,8.907753695,0.0,8.922889556,0.0,0.0,2.523546441,7.871187115,1.321858417,0.630872464,1.381990362,3.15441617,2.358342575,0.630872464,0.34548853,3.4999047,15.607369681,0.630872464,7.525775792999999,0.34548853,0.976360994,1.0364793,0.0,16.418010469,7.886308181,0.0,0.0,0.976360994,1.261778128,0.0,0.630872464,0.690985953,0.630872464,2.6437684900000002,0.34548853,0.0,5.182441277,1.892677383,3.15441617,2.989248239,50.803319220000006,0.0,0.0,0.0,14.2253881,0.630872464,0.0,10.155040623,16.521859162000002,0.0,0.630872464,3.15441617,16.570094248,3.2746677450000004,12.33222417,3.785309148,0.34548853,1.0364793,0.976360994,0.630872464,1.381990362,1.0364793,6.038679968,0.630872464,0.630872464,23.028473678,6.909881914,0.0,11.266022625,2.012862826,3.785309148,0.34548853,3.3948758029999997,7.570575795,2.2982574280000003,0.34548853,0.0,1.321858417,1.261778128,1.0364793,1.321858417,2.523546441,6.999851959,1.0364793,12.287331385,3.214532394,14.736159127999999,2.523546441,3.049328509,4.942002486,2.012862826,1.261778128,2.523546441,1.321858417,40.77341687,3.74038207,0.34548853,0.0,0.690985953,4.19089547,7.976287291,2.238165913,2.238165913,1.381990362,0.34548853,3.785309148,0.0,0.34548853,0.690985953,14.50957867,5.858291032,8.276796656,3.3948758029999997,0.976360994,0.34548853,0.690985953,10.155040623,1.0364793,0.690985953,1.0364793,2.072981884,3.214532394,0.34548853,0.0,0.0,3.109509606,0.0,0.000727536,0.013269103,0.046177856,0.0,0.0,0.0,0.0,0.0,0.0,0.087301532,0.0,0.395385313,0.0,0.0727907,0.0,0.308338412,0.0,0.0,0.018325221,1.0,1.0
6x6,0.0,2.599813489,1.299905543,15.1398688,0.630872464,1.9307780069999998,1.299905543,4.454321713000001,1.261778128,0.0,12.215806799,0.0,11.030745124,1.299905543,0.0,2.523546441,5.716171729999999,1.9307780069999998,0.630872464,5.199690368,4.454321713000001,1.9307780069999998,0.630872464,0.0,3.15441617,13.87989957,1.9307780069999998,4.416266187,5.199690368,0.630872464,0.0,0.0,12.61758203,0.630872464,0.0,0.0,0.630872464,1.261778128,0.0,0.630872464,0.0,0.630872464,3.861591617,0.0,0.0,0.0,1.892677383,3.15441617,1.261778128,41.047314683,0.0,0.0,0.0,19.079589937999998,0.630872464,0.0,10.763960212999999,15.1398688,1.299905543,0.630872464,3.15441617,7.685127726,3.192582926,11.98673564,3.785309148,0.0,0.0,3.230685953,0.630872464,0.0,6.499632803,4.492490872,0.630872464,0.630872464,6.461468496,0.0,0.0,5.047139676,1.9307780069999998,5.085214691,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,3.230685953,1.261778128,0.0,0.630872464,2.523546441,6.308866006,0.0,8.832410457,2.523546441,75.354872378,2.523546441,1.9307780069999998,5.12335993,0.630872464,1.261778128,2.523546441,0.630872464,22.0993628,3.230685953,0.0,0.0,0.0,3.15441617,6.939807991,1.892677383,4.492490872,15.59969085,0.0,3.785309148,0.0,0.0,0.0,0.0,5.085214691,3.785309148,1.9307780069999998,0.630872464,0.0,0.0,9.46405467,0.0,0.0,0.0,5.199690368,3.823451984,0.0,0.0,0.0,0.0,0.0,0.044767204,0.005541733,0.025427594,0.0,0.032209852,0.0,0.119185307,0.0,0.0,0.087301532,0.0,0.781249332,0.0,0.0727907,0.0,0.289555387,0.0,0.0,0.018325221,1.0,1.0
7x7,0.0,3.883261708,2.588888782,17.728757582,0.630872464,0.630872464,3.883261708,5.743304952000001,2.556235534,0.0,7.0051549689999995,0.0,16.165712584,0.0,0.0,2.523546441,5.710723593,0.630872464,1.92532987,10.35533628,3.15441617,0.630872464,0.630872464,0.0,3.15441617,13.87989957,0.630872464,5.710723593,0.0,0.630872464,0.0,0.0,12.61758203,0.630872464,0.0,0.0,0.630872464,3.85066691,0.0,0.630872464,0.0,0.630872464,12.912054097999999,0.0,0.0,1.294457406,1.892677383,5.743304952000001,2.556235534,48.807455915000006,0.0,1.294457406,1.294457406,15.174356975999999,0.630872464,0.0,9.46405467,22.906444756,0.0,0.630872464,3.15441617,19.320149268,1.892677383,14.575624421999999,3.785309148,0.0,3.883261708,0.630872464,0.630872464,2.588888782,2.588888782,4.481566165,0.630872464,0.630872464,7.734004149,29.77513736,0.0,6.341597082,0.630872464,3.785309148,0.0,3.219761246,8.865033201,1.261778128,0.0,0.0,1.92532987,3.85066691,0.0,0.630872464,2.523546441,6.308866006,0.0,11.421299239,3.818003847,40.090832918000004,6.406808149,3.219761246,2.523546441,1.92532987,5.1450398360000005,2.523546441,0.630872464,62.13933449,0.630872464,0.0,0.0,1.294457406,3.15441617,6.939807991,1.892677383,1.892677383,0.0,0.0,3.785309148,0.0,0.0,0.0,0.0,3.785309148,3.785309148,7.103098485,0.630872464,0.0,0.0,13.347316377999999,1.294457406,0.0,1.294457406,2.588888782,2.523546441,0.0,0.0,0.0,5.177745315,0.0,0.026348761000000002,0.0,0.057963112,0.0,0.019981277,0.0,0.13991377,0.0,0.0,0.087301532,0.0,1.079132246,0.0,0.0727907,0.0,0.289555387,0.0,0.0,0.018325221,1.0,1.0
8x8,0.0,0.0,0.841280696,17.663739787,0.630872464,3.154743451,2.523870987,3.9956968660000003,1.261778128,0.0,7.781424509,0.0,21.665210104,0.0,0.0,3.3648271370000002,6.098829618,1.47215316,0.630872464,0.841280696,3.15441617,0.630872464,0.630872464,0.0,3.15441617,13.87989957,1.47215316,4.416266187,0.0,0.630872464,0.0,0.0,15.141453017,3.154743451,0.0,0.0,0.630872464,2.103058824,0.0,0.630872464,0.0,0.630872464,4.6269364500000005,0.0,0.0,0.0,2.733958079,3.15441617,1.261778128,40.588689836,0.841280696,0.0,0.841280696,13.87989957,0.630872464,0.0,9.46405467,17.663739787,0.0,0.630872464,3.15441617,10.515496148,2.733958079,11.98673564,3.785309148,0.841280696,0.0,0.630872464,0.630872464,0.0,2.523870987,5.257835705,0.630872464,1.47215316,12.198910227999999,0.841280696,0.0,7.571010662999999,0.630872464,3.785309148,0.0,0.630872464,7.570575795,1.261778128,0.0,0.0,0.630872464,2.103058824,0.0,0.630872464,2.523546441,7.150146702,0.0,9.673691153,2.523546441,39.121527928000006,2.523546441,9.043697799999999,3.3648271370000002,0.630872464,1.261778128,2.523546441,0.630872464,15.14358557,3.996030786,0.0,0.0,0.841280696,3.9956968660000003,9.463678978,2.733958079,2.733958079,2.523870987,0.0,4.626589844,0.0,0.0,0.0,1.682563431,3.785309148,4.626589844,0.630872464,0.630872464,0.0,0.0,9.46405467,0.0,0.841280696,1.682563431,0.0,2.523546441,0.841280696,0.0,0.0,0.841280696,0.0,0.034264468,0.037253717,0.077491206,0.0,0.051233035,0.0,0.157436037,0.0,0.0,0.087301532,0.0,1.168546371,0.0,0.0727907,0.0,0.289555387,0.0,0.009163188,0.018325221,1.0,1.0
9x9,0.628845904,1.886556084,4.401943034,18.284157484,0.630872464,6.290500915,0.628845904,4.412135753,1.261778128,0.0,6.931708695999999,0.0,19.496395314,0.628845904,0.0,2.523546441,5.67398577,1.259718368,1.259718368,1.886556084,3.15441617,5.032815498000001,1.259718368,0.0,3.15441617,14.508745474,0.630872464,4.416266187,3.144288684,0.630872464,0.0,0.0,14.504138114,6.919403375,0.0,0.628845904,2.517428548,1.261778128,0.0,1.888592047,0.628845904,1.259718368,1.8906240319999998,0.0,0.0,22.63741608,2.521523287,3.783262074,1.8906240319999998,46.664761982,0.0,0.0,0.0,15.766455654,0.630872464,0.628845904,9.46405467,19.541811834,0.0,0.630872464,4.412135753,13.846451968,4.408119892,15.759829778999999,3.785309148,0.0,2.515442509,0.630872464,0.630872464,6.288530911,5.030870458,1.892677383,0.630872464,0.630872464,20.127300978,28.9295371,1.257719583,13.851065121999998,1.259718368,4.414155052,0.0,6.290500915,8.828295378,1.261778128,0.0,0.0,0.630872464,1.8906240319999998,0.0,1.259718368,3.152392345,8.824308515,0.0,10.09013004,3.7812660240000002,13.838658768,4.410102525,5.661742922,2.523546441,2.517428548,2.519497711,2.523546441,0.630872464,84.90135215,9.434797909999999,0.0,0.628845904,0.0,3.783262074,8.197527574,2.521523287,2.521523287,1.886556084,0.628845904,3.785309148,0.0,0.0,0.628845904,3.773094139,6.300751657,5.043028731,1.888592047,0.630872464,0.0,0.0,9.46405467,0.628845904,0.0,0.628845904,3.773094139,2.523546441,1.257719583,0.0,0.0,2.515442509,0.0,0.020542312,0.0,0.07398690200000001,0.0,0.0,0.0,0.032514121,0.0,0.0,0.087301532,0.0,0.832142604,0.0,0.101403679,0.009018433,0.289555387,0.0,0.0,0.018325221,1.0,1.0
