coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Excitatory,ODImmature1
0x0,0.0,0.0,0.0,6.721825801,0.0,2.273030106,10.6439411,1.688580103,0.0,0.560163093,7.281900338,0.560163093,3.409506631,0.0,0.0,2.264930971,13.469155968,0.560163093,0.0,0.0,1.688580103,2.833193199,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,0.560163093,0.568266986,1.120313117,2.2568480600000003,1.1284300790000001,31.116398949,9.067722082,1.120313117,0.0,0.0,0.0,0.568266986,0.560163093,0.0,0.560163093,20.196466296,0.560163093,0.568266986,0.0,0.0,0.560163093,3.945401996,1.704767878,0.0,0.568266986,0.568266986,0.0,0.0,12.50205896,0.0,14.572023236,0.0,0.560163093,3.921075182,11.780476043,3.9292058670000003,0.568266986,0.568266986,0.568266986,0.568266986,0.0,0.560163093,0.0,1.120313117,2.273030106,0.560163093,0.0,11.876578517999999,0.0,0.0,1.1284300790000001,7.858360744,0.560163093,0.0,0.560163093,0.0,0.0,1.136534943,0.0,20.749488147999998,0.560163093,1.120313117,5.057610125,0.0,15.742217394,0.0,11.212208085999999,2.825080995,40.91794659,1.688580103,0.0,1.120313117,3.977829304,0.0,0.560163093,2.264930971,0.560163093,0.560163093,0.0,1.688580103,12.50205896,0.0,18.515520786,0.0,0.0,4.529819748,0.0,10.098843758000001,2.8089011040000003,0.560163093,0.560163093,0.560163093,3.977829304,4.546001721,12.50205896,0.568266986,0.0,0.568266986,13.44441641,0.0,1.688580103,1.136534943,0.0,6.762390871,12.50205896,0.560163093,0.0,0.0,0.010464006,0.036487336,0.020422204,0.059483242000000006,0.0,0.0,0.0,0.01280025,0.0,0.0,0.10295927399999999,0.0,0.0,0.0,0.050427299,0.0,0.585985663,0.0,0.010261959,0.0,1.0,1.0
1x1,0.0,0.0,0.685660073,9.464396386999999,2.056961717,0.0,10.6439411,13.461669947,0.0,0.560163093,8.65316484,0.560163093,2.056961717,0.0,0.685660073,0.560163093,17.935227555,1.245823166,0.0,5.485149617,1.80597319,1.245823166,0.560163093,1.245823166,8.962308815,2.926294191,0.560163093,1.245823166,0.685660073,1.120313117,1.80597319,1.245823166,33.519738269,1.680464131,1.120313117,0.0,0.685660073,1.371264502,0.0,1.245823166,0.0,1.245823166,18.609096263,1.245823166,0.685660073,0.0,0.685660073,10.845122473,3.61189862,18.5119197,0.0,0.685660073,0.0,0.0,0.0,13.02813705,0.685660073,20.174595715000002,0.0,0.560163093,3.921075182,12.700902817,3.360938881,1.371264502,0.0,0.685660073,0.0,0.0,0.560163093,0.0,1.120313117,2.742570586,1.245823166,1.371264502,7.34930345,0.0,0.0,4.6740368189999995,6.721825801,1.245823166,0.0,0.560163093,0.0,0.0,0.0,0.0,20.415984771999998,0.560163093,1.80597319,4.606735255,1.371264502,22.04934747,0.0,14.757814825999999,14.833271277,24.68029451,2.491577619,1.371264502,1.120313117,0.685660073,0.0,1.245823166,1.245823166,1.245823166,0.560163093,0.685660073,1.80597319,0.685660073,0.0,21.727640297,0.0,0.685660073,10.033653082,1.371264502,12.390537083,2.240634118,0.560163093,0.560163093,1.245823166,0.685660073,4.113873726,15.08421982,0.0,0.0,8.913339965,22.357756375,0.0,1.80597319,0.0,0.685660073,8.034948908,8.227626339,1.9314275950000002,0.0,0.0,0.002912167,0.041403426,0.0,0.056419972,0.0,0.0,0.019721556,0.01280025,0.0,0.0,0.107282244,0.0,0.236260519,0.0,0.075120843,0.0,0.524241086,0.0,0.0,0.0,1.0,1.0
2x2,0.0,0.0,0.0,6.721825801,1.092184595,1.092184595,11.736125694999998,2.2124977120000002,0.0,0.560163093,9.466244501,1.6523476879999999,4.368710674,0.0,0.0,0.560163093,15.041001565,0.560163093,0.0,0.0,1.120313117,0.560163093,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,6.021166946,1.092184595,1.120313117,1.120313117,0.560163093,45.564516549000004,1.680464131,1.120313117,0.0,0.0,4.368710674,0.0,0.560163093,0.0,0.560163093,25.56873483,0.560163093,0.0,0.0,0.0,0.560163093,6.609344792,1.092184595,0.0,0.0,0.0,0.0,0.0,27.30740119,0.0,16.188100413,0.0,0.560163093,6.105419345,16.104944953,4.453123476,2.184344163,0.0,0.0,0.0,1.092184595,0.560163093,0.0,1.120313117,0.0,1.6523476879999999,0.0,3.921075182,0.0,0.0,2.744507256,8.906169964,7.113345971,1.092184595,1.6523476879999999,0.0,0.0,0.0,0.0,20.136904864999998,1.6523476879999999,1.120313117,3.921075182,0.0,15.041001565,0.0,21.56459283,6.5813169700000005,66.62386672,3.30465728,0.0,4.396926592,3.276613475,0.0,0.560163093,0.560163093,1.6523476879999999,1.6523476879999999,0.0,1.120313117,0.0,0.0,19.519104155,0.0,2.184344163,3.30465728,0.0,13.331019489,2.240634118,0.560163093,0.560163093,1.6523476879999999,2.184344163,10.92065173,22.93866901,0.0,1.092184595,1.092184595,16.721029885,0.0,2.2124977120000002,1.092184595,3.276613475,7.1976886570000005,22.93866901,0.560163093,0.0,3.276613475,0.002912167,0.063509935,0.0,0.043822296000000004,0.0,0.008277092,0.0,0.01280025,0.0,0.0,0.078633737,0.0,0.353910636,0.0,0.053895004,0.0,0.44113241000000003,0.0,0.0,0.0,1.0,1.0
3x3,0.410457485,0.0,0.410457485,9.184566728,0.820916369,0.410457485,18.032164725,5.635243061000001,1.231361832,0.970620578,10.975975075000001,3.02290402,1.231361832,0.0,0.0,3.843773845,20.794366542,0.970620578,1.231361832,2.462740927,5.22477541,0.970620578,0.970620578,0.970620578,9.3727663,4.292883398,0.970620578,3.843773845,0.820916369,1.530770602,3.172562397,3.843773845,29.632613209000002,3.322264521,1.120313117,0.0,0.410457485,1.231361832,0.0,0.970620578,0.0,0.970620578,19.154798022,0.560163093,0.0,0.0,0.410457485,4.664625386,4.292883398,0.820916369,1.64180039,0.0,0.0,1.64180039,0.0,12.72460961,2.873200685,21.802283836,0.410457485,1.381079462,4.331532667,14.338015837,6.234139566,7.388223625,0.820916369,0.410457485,0.0,0.820916369,0.970620578,0.0,1.530770602,1.231361832,0.970620578,0.0,3.921075182,0.0,0.820916369,5.896087688,10.005436553,3.02290402,0.820916369,0.970620578,8.208947562,0.0,1.64180039,0.0,19.455177754999998,0.560163093,1.120313117,3.921075182,0.820916369,22.025985560000002,0.410457485,19.673919552,3.172562397,26.68216163,3.993513802,0.0,1.120313117,0.0,8.208947562,0.560163093,1.381079462,0.970620578,3.433363778,0.0,1.530770602,0.410457485,0.410457485,20.346952973,0.0,0.410457485,1.9412294860000001,0.0,27.021303985,2.240634118,0.560163093,0.560163093,0.560163093,0.820916369,2.873200685,8.619444649,0.410457485,2.462740927,0.410457485,33.1458299,0.0,1.120313117,0.820916369,0.0,7.615149919,6.156818443,0.560163093,0.0,0.410457485,0.184004907,0.03718759,0.0,0.032228866,0.0,0.000398381,0.0,0.01280025,0.0,0.0,0.078633737,0.0,0.251370752,0.0,0.050427299,0.0,0.359338479,0.0,0.0,0.0,1.0,1.0
4x4,0.0,0.0,9.8292904,8.68781797,0.0,1.965992169,10.6439411,5.052278277,0.0,0.560163093,7.281900338,0.560163093,0.0,0.0,1.965992169,0.560163093,15.696353250000001,0.560163093,0.0,0.0,3.086305286,0.560163093,0.560163093,0.560163093,8.962308815,4.206626287,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,37.045356369000004,3.6464562999999997,1.120313117,0.0,0.0,0.0,0.0,0.560163093,0.0,0.560163093,19.889428359,0.560163093,0.0,1.965992169,1.965992169,4.492128253,2.240634118,0.0,0.0,0.0,0.0,0.0,0.0,9.8292904,0.0,14.00375625,0.0,0.560163093,3.921075182,16.541890432,3.360938881,3.93196516,0.0,0.0,1.965992169,0.0,0.560163093,0.0,1.120313117,0.0,0.560163093,0.0,9.819024513999999,0.0,0.0,0.560163093,8.68781797,4.492128253,0.0,0.560163093,0.0,0.0,0.0,0.0,19.04472027,0.560163093,3.086305286,3.921075182,0.0,17.662337422,0.0,14.57590626,3.086305286,49.15335611,1.120313117,0.0,1.120313117,1.965992169,0.0,0.560163093,0.560163093,12.356922363,0.560163093,0.0,1.120313117,0.0,3.93196516,16.24249068,0.0,0.0,1.120313117,0.0,10.928300984,2.240634118,0.560163093,0.560163093,2.526155262,7.863801057,0.0,29.4929892,0.0,1.965992169,0.0,13.44441641,0.0,1.120313117,1.965992169,0.0,3.921075182,13.76046366,0.560163093,0.0,0.0,0.017770447999999998,0.036487336,0.021380824,0.035549168,0.010425737,0.002071568,0.0,0.01280025,0.0,0.0,0.083318926,0.0,0.0,0.0,0.050427299,0.0,0.38538968500000004,0.009242893,0.008558979,0.001682785,1.0,1.0
5x5,0.0,0.516421733,2.582036443,9.811849706,0.0,2.7894518390000003,3.614875615,17.094960806,0.0,0.0,1.549235748,0.0,3.409506631,1.032825032,0.516421733,17.197780828,7.385283748,0.516421733,0.516421733,0.0,1.6010920180000001,2.273030106,0.516421733,0.0,0.0,0.0,0.516421733,2.582036443,1.084688719,0.0,1.136534943,0.568266986,27.27487357,9.969294393999999,0.516421733,0.0,0.0,1.549235748,0.568266986,0.0,0.516421733,0.516421733,2.273030106,0.0,0.568266986,0.0,0.0,7.229813622,5.836098523,5.836098523,2.065631854,1.084688719,1.084688719,0.0,0.0,13.534883992,1.032825032,9.862642353,0.0,0.0,1.032825032,7.333510041,1.6010920180000001,21.225351936000003,0.568266986,2.1175027340000003,0.568266986,0.516421733,1.549235748,0.0,0.516421733,2.7894518390000003,0.0,0.0,14.668799373999999,0.0,0.0,1.6010920180000001,1.136534943,1.032825032,0.0,0.0,1.549235748,0.0,1.652956676,0.516421733,2.73759291,9.294375367,1.032825032,1.136534943,1.032825032,9.658345174,0.516421733,23.806446636,3.7703997319999996,41.434368323,3.150303429,0.0,1.549235748,3.977829304,11.36232054,0.0,3.2540036260000003,0.0,0.0,0.0,0.568266986,12.50205896,0.0,7.4371347100000005,0.0,0.516421733,3.409506631,0.0,11.465754673,0.568266986,0.0,0.516421733,0.516421733,5.010654336,4.546001721,13.018480692999999,1.084688719,1.032825032,0.568266986,6.713296038,0.0,0.568266986,1.652956676,2.065631854,6.456191304,12.50205896,0.0,0.0,0.0,0.007551839,0.0,0.020422204,0.035455088,0.016352126,0.0,0.117066428,0.0,0.0,0.0,0.08794922299999999,0.0,0.0,0.0,0.011299983,0.0,0.638774686,0.0,0.010261959,0.0,1.0,1.0
6x6,0.0,0.516421733,3.267696516,12.554420292,2.056961717,0.516421733,3.614875615,28.86805065,0.0,0.0,2.92050025,0.0,2.056961717,1.032825032,1.202081806,15.49301295,11.851355335000001,1.202081806,0.516421733,5.485149617,1.718485105,0.685660073,0.516421733,0.685660073,0.0,0.685660073,0.516421733,3.267696516,1.202081806,0.0,0.685660073,0.685660073,29.67821289,2.582036443,0.516421733,0.0,0.685660073,2.92050025,0.0,0.685660073,0.516421733,1.202081806,0.685660073,0.685660073,0.685660073,0.0,0.685660073,17.514773002,5.502595147,22.643250345,2.065631854,1.202081806,0.516421733,0.0,0.0,14.060962082,1.718485105,15.465214832000001,0.0,0.0,1.032825032,8.253936815,1.032825032,22.028349452,0.0,2.2348958210000003,0.0,0.516421733,1.549235748,0.0,0.516421733,3.258992319,0.685660073,1.371264502,10.141524306,0.0,0.0,5.146698757999999,0.0,1.718485105,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,2.404089534,9.294375367,1.718485105,0.685660073,2.404089534,15.96547525,0.516421733,27.352053376,15.778590013999999,25.196716243,3.9533009449999996,1.371264502,1.549235748,0.685660073,11.36232054,0.685660073,2.2348958210000003,0.685660073,0.0,0.685660073,0.685660073,0.685660073,0.0,10.649254221,0.0,1.202081806,8.913339965,1.371264502,13.757447998,0.0,0.0,0.516421733,1.202081806,1.718485105,4.113873726,15.600641552999999,0.516421733,1.032825032,8.913339965,15.626636003000002,0.0,0.685660073,0.516421733,2.7512919269999996,7.728749340999999,8.227626339,1.371264502,0.0,0.0,0.0,0.00491609,0.0,0.032391818,0.016352126,0.0,0.136787984,0.0,0.0,0.0,0.092272193,0.0,0.236260519,0.0,0.035993527,0.0,0.577030109,0.0,0.0,0.0,1.0,1.0
7x7,0.0,0.516421733,2.582036443,9.811849706,1.092184595,1.608606328,4.70706021,17.618878414999998,0.0,0.0,3.733579911,1.092184595,4.368710674,1.032825032,0.516421733,15.49301295,8.957129345,0.516421733,0.516421733,0.0,1.032825032,0.0,0.516421733,0.0,0.0,0.0,0.516421733,8.043040296000001,1.608606328,0.0,0.0,0.0,41.72299117,2.582036443,0.516421733,0.0,0.0,5.917946422,0.0,0.0,0.516421733,0.516421733,7.64529864,0.0,0.0,0.0,0.0,7.229813622,8.500041319000001,5.22351524,2.065631854,0.516421733,0.516421733,0.0,0.0,28.340226222000002,1.032825032,11.478719530000001,0.0,0.0,3.2171691950000003,11.657978951,2.125009627,22.841429113,0.0,1.549235748,0.0,1.608606328,1.549235748,0.0,0.516421733,0.516421733,1.092184595,0.0,6.713296038,0.0,0.0,3.2171691950000003,2.184344163,7.58600791,1.092184595,1.092184595,1.549235748,0.0,0.516421733,0.516421733,2.125009627,10.386559962,1.032825032,0.0,1.032825032,8.957129345,0.516421733,34.158831379999995,7.5266357070000005,67.140288453,4.766380606,0.0,4.8258492230000005,3.276613475,11.36232054,0.0,1.549235748,1.092184595,1.092184595,0.0,0.0,0.0,0.0,8.440718079,0.0,2.700765896,2.184344163,0.0,14.697930404000001,0.0,0.0,0.516421733,1.608606328,3.2171691950000003,10.92065173,23.455090743000003,0.516421733,2.125009627,1.092184595,9.989909513,0.0,1.092184595,1.608606328,5.342245329,6.89148909,22.93866901,0.0,0.0,3.276613475,0.0,0.027022599,0.0,0.019794142,0.016352126,0.008277092,0.117066428,0.0,0.0,0.0,0.063623686,0.0,0.353910636,0.0,0.014767688,0.0,0.493921433,0.0,0.0,0.0,1.0,1.0
8x8,0.410457485,0.516421733,2.992493928,12.274590633,0.820916369,0.9268792180000001,11.003099240000001,21.041623764,1.231361832,0.410457485,5.243310485,2.462740927,1.231361832,1.032825032,0.516421733,18.776623702000002,14.710494321999999,0.9268792180000001,1.747783565,2.462740927,5.137287325,0.410457485,0.9268792180000001,0.410457485,0.410457485,2.05224928,0.9268792180000001,5.865647194999999,1.337338102,0.410457485,2.05224928,3.283610752,25.791087830000002,4.223836833,0.516421733,0.0,0.410457485,2.7805975800000002,0.0,0.410457485,0.516421733,0.9268792180000001,1.231361832,0.0,0.0,0.0,0.410457485,11.334275915,6.183579925,4.952247014,3.7074322439999996,0.516421733,0.516421733,1.64180039,0.0,13.757434642,3.9060257170000003,17.092902953,0.410457485,0.820916369,1.443282517,9.891049835,3.9060257170000003,28.045308575,0.820916369,1.959693233,0.0,1.337338102,1.959693233,0.0,0.9268792180000001,1.747783565,0.410457485,0.0,6.713296038,0.0,0.820916369,6.368749627,3.283610752,3.4955659590000003,0.820916369,0.410457485,9.75818331,0.0,2.158222123,0.516421733,1.443282517,9.294375367,1.032825032,0.0,1.8537414010000002,15.942113339999999,0.9268792180000001,32.268158102,4.117881133999999,27.198583363,5.455237128,0.0,1.549235748,0.0,19.571268102,0.0,2.370152117,0.410457485,2.873200685,0.0,0.410457485,0.410457485,0.410457485,9.268566897,0.0,0.9268792180000001,0.820916369,0.0,28.3882149,0.0,0.0,0.516421733,0.516421733,1.8537414010000002,2.873200685,9.135866382,0.9268792180000001,3.4955659590000003,0.410457485,26.414709528,0.0,0.0,1.337338102,2.065631854,7.308950352,6.156818443,0.0,0.0,0.410457485,0.18109274,0.000700254,0.0,0.008200712,0.016352126,0.000398381,0.117066428,0.0,0.0,0.0,0.063623686,0.0,0.251370752,0.0,0.011299983,0.0,0.412127502,0.0,0.0,0.0,1.0,1.0
9x9,0.0,0.516421733,12.411326843,11.777841875,0.0,2.4824139020000002,3.614875615,20.45865898,0.0,0.0,1.549235748,0.0,0.0,1.032825032,2.4824139020000002,15.49301295,9.61248103,0.516421733,0.516421733,0.0,2.998817201,0.0,0.516421733,0.0,0.0,1.965992169,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,33.20383099,4.5480286119999995,0.516421733,0.0,0.0,1.549235748,0.0,0.0,0.516421733,0.516421733,1.965992169,0.0,0.0,1.965992169,1.965992169,11.161778781999999,4.131330645,4.131330645,2.065631854,0.516421733,0.516421733,0.0,0.0,10.862115432,1.032825032,9.294375367,0.0,0.0,1.032825032,12.094924429999999,1.032825032,24.589050110000002,0.0,1.549235748,1.965992169,0.516421733,1.549235748,0.0,0.516421733,0.516421733,0.0,0.0,12.611245369999999,0.0,0.0,1.032825032,1.965992169,4.964790192,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,1.032825032,9.294375367,2.998817201,0.0,1.032825032,11.578465202,0.516421733,27.17014481,4.031624023,49.669777843,2.582036443,0.0,1.549235748,1.965992169,11.36232054,0.0,1.549235748,11.79675927,0.0,0.0,0.0,0.0,3.93196516,5.164104604,0.0,0.516421733,0.0,0.0,12.295211899,0.0,0.0,0.516421733,2.4824139020000002,8.896626089,0.0,30.009410933,0.516421733,2.998817201,0.0,6.713296038,0.0,0.0,2.4824139020000002,2.065631854,3.614875615,13.76046366,0.0,0.0,0.0,0.014858281,0.0,0.021380824,0.011521014,0.026777863,0.002071568,0.117066428,0.0,0.0,0.0,0.068308875,0.0,0.0,0.0,0.011299983,0.0,0.43817870800000003,0.009242893,0.008558979,0.001682785,1.0,1.0
