coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Excitatory,Endothelial2
0x0,0.690985953,1.381990362,14.16701094,9.831335407,0.34548853,8.982975379,12.716922984,2.502303479,0.0,0.560163093,11.773387845999999,0.560163093,8.292017092,0.0,0.0,0.560163093,15.219309018,1.251149046,0.0,1.381990362,1.120313117,2.287633204,0.560163093,0.905651623,9.307797345,3.9681042289999997,0.560163093,3.669672699,0.34548853,1.4658016470000002,2.156792417,0.560163093,13.322469688000002,8.935899848,1.120313117,0.0,0.34548853,0.0,0.0,0.560163093,0.690985953,0.560163093,19.305426552,0.905651623,0.0,5.182441277,0.0,0.560163093,3.9681042289999997,11.05591008,0.0,0.0,0.0,0.34548853,0.0,0.0,0.690985953,15.385746612,0.0,0.560163093,3.921075182,23.4287262,4.742929243,0.34548853,0.0,0.34548853,1.0364793,0.34548853,0.560163093,1.381990362,2.156792417,4.146002585,0.560163093,0.0,25.687770732,6.909881914,0.0,6.779046042,8.103816163,0.560163093,0.34548853,3.3241664319999997,0.0,1.0364793,0.34548853,0.0,19.735706222999998,0.560163093,2.156792417,4.612061135,0.0,12.455374043,1.0364793,14.098862028,1.81129907,13.474381,1.120313117,2.418456045,3.5387691620000004,1.381990362,0.0,0.560163093,1.251149046,41.333579963,3.669672699,0.34548853,1.120313117,0.690985953,1.0364793,17.27896998,0.34548853,0.34548853,2.502303479,0.34548853,8.962308815,2.240634118,0.905651623,1.251149046,15.069741763,2.072981884,4.491487508,2.764003339,0.34548853,0.34548853,0.690985953,14.135402363,1.0364793,1.81129907,1.0364793,2.072981884,4.612061135,0.34548853,0.560163093,0.0,3.109509606,0.002912167,0.036487336,0.013269103,0.052979128,0.0,0.0,0.0,0.01280025,0.0,0.0,0.078633737,0.0,0.331925703,0.0,0.050427299,0.0,0.314708419,0.0,0.0,0.0,1.0,1.0
1x1,0.0,2.599813489,1.299905543,6.721825801,0.0,1.299905543,11.943846642999999,2.4202186599999997,0.0,0.560163093,15.081440950000001,0.560163093,10.39987266,1.299905543,0.0,0.560163093,13.064293633,1.8600686359999998,0.0,5.199690368,2.4202186599999997,1.8600686359999998,0.560163093,0.560163093,8.962308815,2.240634118,1.8600686359999998,0.560163093,5.199690368,1.120313117,1.120313117,0.560163093,9.522041249,1.680464131,1.120313117,0.0,0.0,0.0,0.0,0.560163093,0.0,0.560163093,20.523249679,0.560163093,0.0,0.0,0.0,0.560163093,2.240634118,1.299905543,0.0,0.0,0.0,5.199690368,0.0,0.0,1.299905543,14.00375625,1.299905543,0.560163093,3.921075182,14.543759677999999,4.660844424,0.0,0.0,0.0,0.0,2.599813489,0.560163093,0.0,7.61994592,2.599813489,0.560163093,0.0,9.12076555,0.0,0.0,0.560163093,8.021731343999999,1.8600686359999998,0.0,0.560163093,0.0,0.0,0.0,0.0,21.644533758999998,0.560163093,1.120313117,3.921075182,0.0,11.76438809,0.0,10.6439411,1.120313117,74.09309425,1.120313117,1.299905543,3.720126606,0.0,0.0,0.560163093,0.560163093,22.659525893,3.159976582,0.0,1.120313117,0.0,0.0,16.24249068,0.0,2.599813489,16.720003967,0.0,8.962308815,2.240634118,0.560163093,0.560163093,0.560163093,1.299905543,0.0,1.299905543,0.0,0.0,0.0,13.44441641,0.0,1.120313117,0.0,5.199690368,5.220980725,0.0,0.560163093,0.0,0.0,0.002912167,0.080527004,0.005541733,0.032228866,0.0,0.032209852,0.0,0.131985557,0.0,0.0,0.078633737,0.0,0.717789722,0.0,0.050427299,0.0,0.295925394,0.0,0.0,0.0,1.0,1.0
2x2,0.0,3.883261708,2.588888782,9.310714583,0.0,0.0,14.527202807999998,3.709201899,1.294457406,0.560163093,9.87078912,0.560163093,15.53484012,0.0,0.0,0.560163093,13.058845496,0.560163093,1.294457406,10.35533628,1.120313117,0.560163093,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,1.8546204990000001,0.0,1.120313117,1.120313117,0.560163093,9.522041249,1.680464131,1.120313117,0.0,0.0,2.588888782,0.0,0.560163093,0.0,0.560163093,29.57371216,0.560163093,0.0,1.294457406,0.0,3.149051875,3.5350915240000003,9.060046775,0.0,1.294457406,1.294457406,1.294457406,0.0,0.0,0.0,21.770332206,0.0,0.560163093,3.921075182,26.178781219999998,3.360938881,2.588888782,0.0,0.0,3.883261708,0.0,0.560163093,2.588888782,3.709201899,2.588888782,0.560163093,0.0,10.393301203,29.77513736,0.0,1.8546204990000001,6.721825801,0.560163093,0.0,3.149051875,1.294457406,0.0,0.0,0.0,20.339177676,3.149051875,1.120313117,3.921075182,0.0,11.76438809,0.0,13.232829881999999,2.414770523,38.82905479,5.003574825,2.588888782,1.120313117,1.294457406,3.883261708,0.560163093,0.560163093,62.699497583,0.560163093,0.0,1.120313117,1.294457406,0.0,16.24249068,0.0,0.0,1.120313117,0.0,8.962308815,2.240634118,0.560163093,0.560163093,0.560163093,0.0,0.0,6.472226021,0.0,0.0,0.0,17.327678118,1.294457406,1.120313117,1.294457406,2.588888782,3.921075182,0.0,0.560163093,0.0,5.177745315,0.002912167,0.06210856100000001,0.0,0.06476438400000001,0.0,0.019981277,0.0,0.15271402,0.0,0.0,0.078633737,0.0,1.015672636,0.0,0.050427299,0.0,0.295925394,0.0,0.0,0.0,1.0,1.0
3x3,0.0,0.0,0.841280696,9.245696788,0.0,2.523870987,13.167812087,1.961593813,0.0,0.560163093,10.647058659999999,0.560163093,21.03433764,0.0,0.0,1.401443789,13.446951521,1.401443789,0.0,0.841280696,1.120313117,0.560163093,0.560163093,0.560163093,8.962308815,2.240634118,1.401443789,0.560163093,0.0,1.120313117,1.120313117,0.560163093,12.045912236000001,4.2043351179999995,1.120313117,0.0,0.0,0.841280696,0.0,0.560163093,0.0,0.560163093,21.288594512,0.560163093,0.0,0.0,0.841280696,0.560163093,2.240634118,0.841280696,0.841280696,0.0,0.841280696,0.0,0.0,0.0,0.0,16.527627237,0.0,0.560163093,3.921075182,17.3741281,4.202219577,0.0,0.0,0.841280696,0.0,0.0,0.560163093,0.0,3.644184104,3.365158322,0.560163093,0.841280696,14.858207281999999,0.841280696,0.0,3.08403408,6.721825801,0.560163093,0.0,0.560163093,0.0,0.0,0.0,0.0,19.04472027,1.401443789,1.120313117,3.921075182,0.0,12.605668786,0.0,11.485221796,1.120313117,37.8597498,1.120313117,8.412825336,1.961593813,0.0,0.0,0.560163093,0.560163093,15.703748663,3.925321415,0.0,1.120313117,0.841280696,0.841280696,18.766361666999998,0.841280696,0.841280696,3.644184104,0.0,9.803589511,2.240634118,0.560163093,0.560163093,2.242726524,0.0,0.841280696,0.0,0.0,0.0,0.0,13.44441641,0.0,1.961593813,1.682563431,0.0,3.921075182,0.841280696,0.560163093,0.0,0.841280696,0.002912167,0.070024268,0.037253717,0.084292478,0.0,0.051233035,0.0,0.17023628700000001,0.0,0.0,0.078633737,0.0,1.105086761,0.0,0.050427299,0.0,0.295925394,0.0,0.009163188,0.0,1.0,1.0
4x4,0.628845904,1.886556084,4.401943034,9.866114485,0.0,5.659628451,11.272787004,2.3780327000000003,0.0,0.560163093,9.797342847,0.560163093,18.86552285,0.628845904,0.0,0.560163093,13.022107673,1.189008997,0.628845904,1.886556084,1.120313117,4.962106127,1.189008997,0.560163093,8.962308815,2.869480022,0.560163093,0.560163093,3.144288684,1.120313117,1.120313117,0.560163093,11.408597333000001,7.9689950419999995,1.120313117,0.628845904,1.886556084,0.0,0.0,1.817882676,0.628845904,1.189008997,18.552282094,0.560163093,0.0,22.63741608,0.628845904,1.189008997,2.869480022,6.917352842,0.0,0.0,0.0,1.886556084,0.0,0.628845904,0.0,18.405699284,0.0,0.560163093,5.178794765,20.70508392,5.876381390000001,3.773094139,0.0,0.0,2.515442509,0.0,0.560163093,6.288530911,6.151183575,0.0,0.560163093,0.0,22.786598032,28.9295371,1.257719583,9.364088538999999,7.350671705,1.189008997,0.0,6.219791544,1.257719583,0.0,0.0,0.0,19.04472027,1.189008997,1.120313117,4.549921086,0.628845904,14.279830599,0.0,11.901660683,2.3780327000000003,12.57688064,3.0068692009999998,5.030870458,1.120313117,1.886556084,1.257719583,0.560163093,0.560163093,85.461515243,9.364088538999999,0.0,1.749159021,0.0,0.628845904,17.500210263,0.628845904,0.628845904,3.0068692009999998,0.628845904,8.962308815,2.240634118,0.560163093,1.189008997,4.333257232,2.515442509,1.257719583,1.257719583,0.0,0.0,0.0,13.44441641,0.628845904,1.120313117,0.628845904,3.773094139,3.921075182,1.257719583,0.560163093,0.0,2.515442509,0.002912167,0.056302112,0.0,0.080788174,0.0,0.0,0.0,0.045314371,0.0,0.0,0.078633737,0.0,0.768682994,0.0,0.079040278,0.009018433,0.295925394,0.0,0.0,0.0,1.0,1.0
5x5,0.690985953,1.898412095,16.749047383,12.921359312,0.34548853,9.499397112,5.687857499,17.908684182,0.0,0.0,6.040723256,0.0,8.292017092,1.032825032,0.516421733,15.49301295,9.135436798,1.207407686,0.516421733,1.381990362,1.032825032,1.727470111,0.516421733,0.34548853,0.34548853,1.727470111,0.516421733,5.691546048999999,0.8619102630000001,0.34548853,1.0364793,0.0,9.480944309,9.83747216,0.516421733,0.0,0.34548853,1.549235748,0.0,0.0,1.207407686,0.516421733,1.381990362,0.34548853,0.0,5.182441277,0.0,7.229813622,5.858800756,15.187240725,2.065631854,0.516421733,0.516421733,0.34548853,0.0,1.032825032,1.723810985,10.676365729,0.0,0.0,1.032825032,18.981760198,2.414815394,21.002573480000002,0.0,1.894724278,1.0364793,0.8619102630000001,1.549235748,1.381990362,1.5529010330000002,4.662424317999999,0.0,0.0,28.479991588,6.909881914,0.0,7.251707981,1.381990362,1.032825032,0.34548853,2.764003339,1.549235748,1.0364793,0.8619102630000001,0.516421733,1.723810985,9.294375367,2.069304332,0.690985953,1.032825032,6.371501823,1.5529010330000002,26.693100578,2.7566178069999996,13.990802732999999,2.582036443,2.418456045,3.967691793,1.381990362,11.36232054,0.0,2.2402217010000003,40.77341687,3.109509606,0.34548853,0.0,0.690985953,1.0364793,6.200583904,0.34548853,0.8619102630000001,1.381990362,0.34548853,10.32921973,0.0,0.34548853,1.207407686,15.026000403,3.1058069159999997,4.491487508,3.280425072,0.8619102630000001,1.3783135620000002,0.690985953,7.404281991,1.0364793,0.690985953,1.5529010330000002,4.138613738,4.305861568,0.34548853,0.0,0.0,3.109509606,0.0,0.0,0.013269103,0.028950973999999997,0.016352126,0.0,0.117066428,0.0,0.0,0.0,0.063623686,0.0,0.331925703,0.0,0.011299983,0.0,0.367497442,0.0,0.0,0.0,1.0,1.0
6x6,0.0,3.1162352220000002,3.8819419859999997,9.811849706,0.0,1.816327276,4.914781158,17.826599363,0.0,0.0,9.34877636,0.0,10.39987266,2.3327305750000003,0.516421733,15.49301295,6.980421413,1.816327276,0.516421733,5.199690368,2.3327305750000003,1.299905543,0.516421733,0.0,0.0,0.0,1.816327276,2.582036443,5.716112101,0.0,0.0,0.0,5.68051587,2.582036443,0.516421733,0.0,0.0,1.549235748,0.0,0.0,0.516421733,0.516421733,2.599813489,0.0,0.0,0.0,0.0,7.229813622,4.131330645,5.431236188,2.065631854,0.516421733,0.516421733,5.199690368,0.0,1.032825032,2.3327305750000003,9.294375367,1.299905543,0.0,1.032825032,10.096793676,2.3327305750000003,20.65708495,0.0,1.549235748,0.0,3.1162352220000002,1.549235748,0.0,7.016054536,3.1162352220000002,0.0,0.0,11.912986406,0.0,0.0,1.032825032,1.299905543,2.3327305750000003,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,3.6326385210000005,9.294375367,1.032825032,0.0,1.032825032,5.68051587,0.516421733,23.23817965,2.065631854,74.609515983,2.582036443,1.299905543,4.149049237,0.0,11.36232054,0.0,1.549235748,22.0993628,2.599813489,0.0,0.0,0.0,0.0,5.164104604,0.0,3.1162352220000002,15.59969085,0.0,10.32921973,0.0,0.0,0.516421733,0.516421733,2.3327305750000003,0.0,1.816327276,0.516421733,1.032825032,0.0,6.713296038,0.0,0.0,0.516421733,7.265322222,4.914781158,0.0,0.0,0.0,0.0,0.0,0.044039668,0.005541733,0.008200712,0.016352126,0.032209852,0.117066428,0.119185307,0.0,0.0,0.063623686,0.0,0.717789722,0.0,0.011299983,0.0,0.348714417,0.0,0.0,0.0,1.0,1.0
7x7,0.0,4.3996834410000005,5.1709252249999995,12.400738488,0.0,0.516421733,7.498137323,19.115582602,1.294457406,0.0,4.138124530000001,0.0,15.53484012,1.032825032,0.516421733,15.49301295,6.974973276,0.516421733,1.810879139,10.35533628,1.032825032,0.0,0.516421733,0.0,0.0,0.0,0.516421733,3.876493849,0.516421733,0.0,0.0,0.0,5.68051587,2.582036443,0.516421733,0.0,0.0,4.138124530000001,0.0,0.0,0.516421733,0.516421733,11.65027597,0.0,0.0,1.294457406,0.0,9.818702404,5.4257880510000005,13.19137742,2.065631854,1.810879139,1.810879139,1.294457406,0.0,1.032825032,1.032825032,17.060951323,0.0,0.0,1.032825032,21.731815218,1.032825032,23.245973732000003,0.0,1.549235748,3.883261708,0.516421733,1.549235748,2.588888782,3.105310515,3.105310515,0.0,0.0,13.185522059,29.77513736,0.0,2.327282438,0.0,1.032825032,0.0,2.588888782,2.8436931540000003,0.0,0.516421733,0.516421733,2.327282438,11.883264149,1.032825032,0.0,1.032825032,5.68051587,0.516421733,25.827068432,3.3600892599999996,39.345476523,6.465298151,2.588888782,1.549235748,1.294457406,15.245582248000002,0.0,1.549235748,62.13933449,0.0,0.0,0.0,1.294457406,0.0,5.164104604,0.0,0.516421733,0.0,0.0,10.32921973,0.0,0.0,0.516421733,0.516421733,1.032825032,0.0,6.9886477540000005,0.516421733,1.032825032,0.0,10.596557746,1.294457406,0.0,1.810879139,4.654520636,3.614875615,0.0,0.0,0.0,5.177745315,0.0,0.025621225,0.0,0.04073623,0.016352126,0.019981277,0.117066428,0.13991377,0.0,0.0,0.063623686,0.0,1.015672636,0.0,0.011299983,0.0,0.348714417,0.0,0.0,0.0,1.0,1.0
8x8,0.0,0.516421733,3.423317139,12.335720693,0.0,3.04029272,6.138746601999999,17.367974515999997,0.0,0.0,4.91439407,0.0,21.03433764,1.032825032,0.516421733,16.334293646,7.363079301,1.3577024290000002,0.516421733,0.841280696,1.032825032,0.0,0.516421733,0.0,0.0,0.0,1.3577024290000002,2.582036443,0.516421733,0.0,0.0,0.0,8.204386857,5.10590743,0.516421733,0.0,0.0,2.390516444,0.0,0.0,0.516421733,0.516421733,3.365158322,0.0,0.0,0.0,0.841280696,7.229813622,4.131330645,4.972611341,2.90691255,0.516421733,1.3577024290000002,0.0,0.0,1.032825032,1.032825032,11.818246354000001,0.0,0.0,1.032825032,12.927162098,1.874105728,20.65708495,0.0,2.390516444,0.0,0.516421733,1.549235748,0.0,3.04029272,3.881580055,0.0,0.841280696,17.650428138,0.841280696,0.0,3.5566960190000003,0.0,1.032825032,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,1.032825032,10.135656063,1.032825032,0.0,1.032825032,6.521796566,0.516421733,24.079460345999998,2.065631854,38.376171533000004,2.582036443,8.412825336,2.390516444,0.0,11.36232054,0.0,1.549235748,15.14358557,3.365158322,0.0,0.0,0.841280696,0.841280696,7.687975591000001,0.841280696,1.3577024290000002,2.523870987,0.0,11.170500426,0.0,0.0,0.516421733,2.1989851639999998,1.032825032,0.841280696,0.516421733,0.516421733,1.032825032,0.0,6.713296038,0.0,0.841280696,2.1989851639999998,2.065631854,3.614875615,0.841280696,0.0,0.0,0.841280696,0.0,0.033536932,0.037253717,0.060264324,0.016352126,0.051233035,0.117066428,0.157436037,0.0,0.0,0.063623686,0.0,1.105086761,0.0,0.011299983,0.0,0.348714417,0.0,0.009163188,0.0,1.0,1.0
9x9,0.628845904,2.402977817,6.983979477,12.95613839,0.0,6.176050183999999,4.243721519,17.784413403,0.0,0.0,4.064678257000001,0.0,18.86552285,1.6616709360000002,0.516421733,15.49301295,6.938235453,1.145267637,1.145267637,1.886556084,1.032825032,4.401943034,1.145267637,0.0,0.0,0.628845904,0.516421733,2.582036443,3.660710417,0.0,0.0,0.0,7.567071953999999,8.870567353999999,0.516421733,0.628845904,1.886556084,1.549235748,0.0,1.257719583,1.145267637,1.145267637,0.628845904,0.0,0.0,22.63741608,0.628845904,7.858659526,4.7601765490000005,11.048683487,2.065631854,0.516421733,0.516421733,1.886556084,0.0,1.6616709360000002,1.032825032,13.696318401000001,0.0,0.0,2.290544615,16.258117918,3.5482675410000004,24.430179089000003,0.0,1.549235748,2.515442509,0.516421733,1.549235748,6.288530911,5.547292191,0.516421733,0.0,0.0,25.578818888,28.9295371,1.257719583,9.836750477999999,0.628845904,1.6616709360000002,0.0,5.659628451,2.806955331,0.0,0.516421733,0.516421733,1.032825032,9.923221271000001,1.032825032,0.628845904,1.6616709360000002,8.195958379,0.516421733,24.495899233,3.323351437,13.093302373,4.468592527,5.030870458,1.549235748,1.886556084,12.620040123,0.0,1.549235748,84.90135215,8.803925446,0.0,0.628845904,0.0,0.628845904,6.421824187,0.628845904,1.145267637,1.886556084,0.628845904,10.32921973,0.0,0.0,1.145267637,4.289515872,3.5482675410000004,1.257719583,1.7741413160000001,0.516421733,1.032825032,0.0,6.713296038,0.628845904,0.0,1.145267637,5.838725993,3.614875615,1.257719583,0.0,0.0,2.515442509,0.0,0.019814776,0.0,0.05676002,0.016352126,0.0,0.117066428,0.032514121,0.0,0.0,0.063623686,0.0,0.768682994,0.0,0.039912961999999996,0.009018433,0.348714417,0.0,0.0,0.0,1.0,1.0
